season,winner,wins,team,matches_played,win_percentage
2007/08,Chennai Super Kings,9,Chennai Super Kings,16,56.25
2007/08,Deccan Chargers,2,Deccan Chargers,14,14.285714285714285
2007/08,Delhi Daredevils,7,Delhi Daredevils,14,50.0
2007/08,Kings XI Punjab,10,Kings XI Punjab,15,66.66666666666666
2007/08,Kolkata Knight Riders,6,Kolkata Knight Riders,13,46.15384615384615
2007/08,Mumbai Indians,7,Mumbai Indians,14,50.0
2007/08,Rajasthan Royals,13,Rajasthan Royals,16,81.25
2007/08,Royal Challengers Bangalore,4,Royal Challengers Bangalore,14,28.57142857142857
2009,Chennai Super Kings,8,Chennai Super Kings,14,57.14285714285714
2009,Deccan Chargers,9,Deccan Chargers,16,56.25
2009,Delhi Daredevils,10,Delhi Daredevils,15,66.66666666666666
2009,Kings XI Punjab,7,Kings XI Punjab,14,50.0
2009,Kolkata Knight Riders,3,Kolkata Knight Riders,13,23.076923076923077
2009,Mumbai Indians,5,Mumbai Indians,13,38.46153846153847
2009,Rajasthan Royals,6,Rajasthan Royals,13,46.15384615384615
2009,Royal Challengers Bangalore,9,Royal Challengers Bangalore,16,56.25
2009/10,Chennai Super Kings,9,Chennai Super Kings,16,56.25
2009/10,Deccan Chargers,8,Deccan Chargers,16,50.0
2009/10,Delhi Daredevils,7,Delhi Daredevils,14,50.0
2009/10,Kings XI Punjab,4,Kings XI Punjab,14,28.57142857142857
2009/10,Kolkata Knight Riders,7,Kolkata Knight Riders,14,50.0
2009/10,Mumbai Indians,11,Mumbai Indians,16,68.75
2009/10,Rajasthan Royals,6,Rajasthan Royals,14,42.857142857142854
2009/10,Royal Challengers Bangalore,8,Royal Challengers Bangalore,16,50.0
2011,Chennai Super Kings,11,Chennai Super Kings,16,68.75
2011,Deccan Chargers,6,Deccan Chargers,14,42.857142857142854
2011,Delhi Daredevils,4,Delhi Daredevils,13,30.76923076923077
2011,Kings XI Punjab,7,Kings XI Punjab,14,50.0
2011,Kochi Tuskers Kerala,6,Kochi Tuskers Kerala,14,42.857142857142854
2011,Kolkata Knight Riders,8,Kolkata Knight Riders,15,53.333333333333336
2011,Mumbai Indians,10,Mumbai Indians,16,62.5
2011,Pune Warriors,4,Pune Warriors,13,30.76923076923077
2011,Rajasthan Royals,6,Rajasthan Royals,13,46.15384615384615
2011,Royal Challengers Bangalore,10,Royal Challengers Bangalore,16,62.5
2012,Chennai Super Kings,10,Chennai Super Kings,18,55.55555555555556
2012,Deccan Chargers,4,Deccan Chargers,15,26.666666666666668
2012,Delhi Daredevils,11,Delhi Daredevils,18,61.111111111111114
2012,Kings XI Punjab,8,Kings XI Punjab,16,50.0
2012,Kolkata Knight Riders,12,Kolkata Knight Riders,17,70.58823529411765
2012,Mumbai Indians,10,Mumbai Indians,17,58.82352941176471
2012,Pune Warriors,4,Pune Warriors,16,25.0
2012,Rajasthan Royals,7,Rajasthan Royals,16,43.75
2012,Royal Challengers Bangalore,8,Royal Challengers Bangalore,15,53.333333333333336
2013,Chennai Super Kings,12,Chennai Super Kings,18,66.66666666666666
2013,Delhi Daredevils,3,Delhi Daredevils,16,18.75
2013,Kings XI Punjab,8,Kings XI Punjab,16,50.0
2013,Kolkata Knight Riders,6,Kolkata Knight Riders,16,37.5
2013,Mumbai Indians,13,Mumbai Indians,19,68.42105263157895
2013,Pune Warriors,4,Pune Warriors,16,25.0
2013,Rajasthan Royals,11,Rajasthan Royals,18,61.111111111111114
2013,Royal Challengers Bangalore,9,Royal Challengers Bangalore,16,56.25
2013,Sunrisers Hyderabad,10,Sunrisers Hyderabad,17,58.82352941176471
2014,Chennai Super Kings,10,Chennai Super Kings,16,62.5
2014,Delhi Daredevils,2,Delhi Daredevils,14,14.285714285714285
2014,Kings XI Punjab,12,Kings XI Punjab,17,70.58823529411765
2014,Kolkata Knight Riders,11,Kolkata Knight Riders,16,68.75
2014,Mumbai Indians,7,Mumbai Indians,15,46.666666666666664
2014,Rajasthan Royals,7,Rajasthan Royals,14,50.0
2014,Royal Challengers Bangalore,5,Royal Challengers Bangalore,14,35.714285714285715
2014,Sunrisers Hyderabad,6,Sunrisers Hyderabad,14,42.857142857142854
2015,Chennai Super Kings,10,Chennai Super Kings,17,58.82352941176471
2015,Delhi Daredevils,5,Delhi Daredevils,13,38.46153846153847
2015,Kings XI Punjab,3,Kings XI Punjab,14,21.428571428571427
2015,Kolkata Knight Riders,7,Kolkata Knight Riders,13,53.84615384615385
2015,Mumbai Indians,10,Mumbai Indians,16,62.5
2015,Rajasthan Royals,7,Rajasthan Royals,13,53.84615384615385
2015,Royal Challengers Bangalore,8,Royal Challengers Bangalore,14,57.14285714285714
2015,Sunrisers Hyderabad,7,Sunrisers Hyderabad,14,50.0
2016,Delhi Daredevils,7,Delhi Daredevils,14,50.0
2016,Gujarat Lions,9,Gujarat Lions,16,56.25
2016,Kings XI Punjab,4,Kings XI Punjab,14,28.57142857142857
2016,Kolkata Knight Riders,8,Kolkata Knight Riders,15,53.333333333333336
2016,Mumbai Indians,7,Mumbai Indians,14,50.0
2016,Rising Pune Supergiants,5,Rising Pune Supergiants,14,35.714285714285715
2016,Royal Challengers Bangalore,9,Royal Challengers Bangalore,16,56.25
2016,Sunrisers Hyderabad,11,Sunrisers Hyderabad,17,64.70588235294117
2017,Delhi Daredevils,6,Delhi Daredevils,14,42.857142857142854
2017,Gujarat Lions,4,Gujarat Lions,14,28.57142857142857
2017,Kings XI Punjab,7,Kings XI Punjab,14,50.0
2017,Kolkata Knight Riders,9,Kolkata Knight Riders,16,56.25
2017,Mumbai Indians,12,Mumbai Indians,17,70.58823529411765
2017,Rising Pune Supergiant,10,Rising Pune Supergiant,16,62.5
2017,Royal Challengers Bangalore,3,Royal Challengers Bangalore,13,23.076923076923077
2017,Sunrisers Hyderabad,8,Sunrisers Hyderabad,14,57.14285714285714
2018,Chennai Super Kings,11,Chennai Super Kings,16,68.75
2018,Delhi Daredevils,5,Delhi Daredevils,14,35.714285714285715
2018,Kings XI Punjab,6,Kings XI Punjab,14,42.857142857142854
2018,Kolkata Knight Riders,9,Kolkata Knight Riders,16,56.25
2018,Mumbai Indians,6,Mumbai Indians,14,42.857142857142854
2018,Rajasthan Royals,7,Rajasthan Royals,15,46.666666666666664
2018,Royal Challengers Bangalore,6,Royal Challengers Bangalore,14,42.857142857142854
2018,Sunrisers Hyderabad,10,Sunrisers Hyderabad,17,58.82352941176471
2019,Chennai Super Kings,10,Chennai Super Kings,17,58.82352941176471
2019,Delhi Capitals,10,Delhi Capitals,16,62.5
2019,Kings XI Punjab,6,Kings XI Punjab,14,42.857142857142854
2019,Kolkata Knight Riders,6,Kolkata Knight Riders,14,42.857142857142854
2019,Mumbai Indians,11,Mumbai Indians,16,68.75
2019,Rajasthan Royals,5,Rajasthan Royals,13,38.46153846153847
