season,winner,team_type,team,loss
2007/08,Kolkata Knight Riders,team1,Royal Challengers Bangalore,True
2007/08,Chennai Super Kings,team1,Kings XI Punjab,True
2007/08,Delhi Daredevils,team1,Delhi Daredevils,False
2007/08,Royal Challengers Bangalore,team1,Mumbai Indians,True
2007/08,Kolkata Knight Riders,team1,Kolkata Knight Riders,False
2007/08,Rajasthan Royals,team1,Rajasthan Royals,False
2007/08,Delhi Daredevils,team1,Deccan Chargers,True
2007/08,Chennai Super Kings,team1,Chennai Super Kings,False
2007/08,Rajasthan Royals,team1,Deccan Chargers,True
2007/08,Kings XI Punjab,team1,Kings XI Punjab,False
2007/08,Rajasthan Royals,team1,Royal Challengers Bangalore,True
2007/08,Chennai Super Kings,team1,Chennai Super Kings,False
2007/08,Deccan Chargers,team1,Mumbai Indians,True
2007/08,Kings XI Punjab,team1,Kings XI Punjab,False
2007/08,Chennai Super Kings,team1,Royal Challengers Bangalore,True
2007/08,Mumbai Indians,team1,Kolkata Knight Riders,True
2007/08,Delhi Daredevils,team1,Delhi Daredevils,False
2007/08,Kings XI Punjab,team1,Deccan Chargers,True
2007/08,Rajasthan Royals,team1,Rajasthan Royals,False
2007/08,Delhi Daredevils,team1,Chennai Super Kings,True
2007/08,Kings XI Punjab,team1,Kings XI Punjab,False
2007/08,Royal Challengers Bangalore,team1,Royal Challengers Bangalore,False
2007/08,Mumbai Indians,team1,Mumbai Indians,False
2007/08,Rajasthan Royals,team1,Rajasthan Royals,False
2007/08,Kings XI Punjab,team1,Royal Challengers Bangalore,True
2007/08,Deccan Chargers,team1,Chennai Super Kings,True
2007/08,Mumbai Indians,team1,Mumbai Indians,False
2007/08,Chennai Super Kings,team1,Delhi Daredevils,True
2007/08,Kolkata Knight Riders,team1,Kolkata Knight Riders,False
2007/08,Rajasthan Royals,team1,Rajasthan Royals,False
2007/08,Chennai Super Kings,team1,Chennai Super Kings,False
2007/08,Kolkata Knight Riders,team1,Deccan Chargers,True
2007/08,Rajasthan Royals,team1,Rajasthan Royals,False
2007/08,Kings XI Punjab,team1,Kings XI Punjab,False
2007/08,Kolkata Knight Riders,team1,Kolkata Knight Riders,False
2007/08,Mumbai Indians,team1,Mumbai Indians,False
2007/08,Delhi Daredevils,team1,Delhi Daredevils,False
2007/08,Mumbai Indians,team1,Mumbai Indians,False
2007/08,Kings XI Punjab,team1,Delhi Daredevils,True
2007/08,Rajasthan Royals,team1,Rajasthan Royals,False
2007/08,Mumbai Indians,team1,Deccan Chargers,True
2007/08,Chennai Super Kings,team1,Kolkata Knight Riders,True
2007/08,Delhi Daredevils,team1,Royal Challengers Bangalore,True
2007/08,Rajasthan Royals,team1,Kolkata Knight Riders,True
2007/08,Kings XI Punjab,team1,Mumbai Indians,True
2007/08,Royal Challengers Bangalore,team1,Chennai Super Kings,True
2007/08,Kings XI Punjab,team1,Kings XI Punjab,False
2007/08,Delhi Daredevils,team1,Delhi Daredevils,False
2007/08,Rajasthan Royals,team1,Chennai Super Kings,True
2007/08,Royal Challengers Bangalore,team1,Deccan Chargers,True
2007/08,Kolkata Knight Riders,team1,Kolkata Knight Riders,False
2007/08,Rajasthan Royals,team1,Rajasthan Royals,False
2007/08,Chennai Super Kings,team1,Deccan Chargers,True
2007/08,Mumbai Indians,team1,Royal Challengers Bangalore,True
2007/08,Kings XI Punjab,team1,Kings XI Punjab,False
2007/08,Rajasthan Royals,team1,Delhi Daredevils,True
2007/08,Chennai Super Kings,team1,Chennai Super Kings,False
2007/08,Rajasthan Royals,team1,Chennai Super Kings,True
2009,Mumbai Indians,team1,Chennai Super Kings,True
2009,Royal Challengers Bangalore,team1,Royal Challengers Bangalore,False
2009,Delhi Daredevils,team1,Delhi Daredevils,False
2009,Deccan Chargers,team1,Deccan Chargers,False
2009,Chennai Super Kings,team1,Royal Challengers Bangalore,True
2009,Kolkata Knight Riders,team1,Kings XI Punjab,True
2009,Deccan Chargers,team1,Royal Challengers Bangalore,True
2009,Delhi Daredevils,team1,Chennai Super Kings,True
2009,Rajasthan Royals,team1,Kolkata Knight Riders,True
2009,Kings XI Punjab,team1,Royal Challengers Bangalore,True
2009,Deccan Chargers,team1,Deccan Chargers,False
2009,Delhi Daredevils,team1,Royal Challengers Bangalore,True
2009,Kings XI Punjab,team1,Kings XI Punjab,False
2009,Deccan Chargers,team1,Chennai Super Kings,True
2009,Mumbai Indians,team1,Kolkata Knight Riders,True
2009,Rajasthan Royals,team1,Delhi Daredevils,True
2009,Royal Challengers Bangalore,team1,Royal Challengers Bangalore,False
2009,Kings XI Punjab,team1,Kings XI Punjab,False
2009,Delhi Daredevils,team1,Deccan Chargers,True
2009,Chennai Super Kings,team1,Chennai Super Kings,False
2009,Mumbai Indians,team1,Kolkata Knight Riders,True
2009,Royal Challengers Bangalore,team1,Royal Challengers Bangalore,False
2009,Rajasthan Royals,team1,Deccan Chargers,True
2009,Chennai Super Kings,team1,Chennai Super Kings,False
2009,Kings XI Punjab,team1,Kings XI Punjab,False
2009,Royal Challengers Bangalore,team1,Royal Challengers Bangalore,False
2009,Chennai Super Kings,team1,Chennai Super Kings,False
2009,Rajasthan Royals,team1,Kings XI Punjab,True
2009,Delhi Daredevils,team1,Delhi Daredevils,False
2009,Deccan Chargers,team1,Deccan Chargers,False
2009,Rajasthan Royals,team1,Royal Challengers Bangalore,True
2009,Chennai Super Kings,team1,Chennai Super Kings,False
2009,Delhi Daredevils,team1,Delhi Daredevils,False
2009,Kings XI Punjab,team1,Deccan Chargers,True
2009,Chennai Super Kings,team1,Chennai Super Kings,False
2009,Mumbai Indians,team1,Royal Challengers Bangalore,True
2009,Delhi Daredevils,team1,Delhi Daredevils,False
