season,winner,team_type,team,loss
2007/08,Kolkata Knight Riders,team1,Royal Challengers Bangalore,Royal Challengers Bangalore
2007/08,Chennai Super Kings,team1,Kings XI Punjab,Kings XI Punjab
2007/08,Delhi Daredevils,team1,Delhi Daredevils,Delhi Daredevils
2007/08,Royal Challengers Bangalore,team1,Mumbai Indians,Mumbai Indians
2007/08,Kolkata Knight Riders,team1,Kolkata Knight Riders,Kolkata Knight Riders
2007/08,Rajasthan Royals,team1,Rajasthan Royals,Rajasthan Royals
2007/08,Delhi Daredevils,team1,Deccan Chargers,Deccan Chargers
2007/08,Chennai Super Kings,team1,Chennai Super Kings,Chennai Super Kings
2007/08,Rajasthan Royals,team1,Deccan Chargers,Deccan Chargers
2007/08,Kings XI Punjab,team1,Kings XI Punjab,Kings XI Punjab
2007/08,Rajasthan Royals,team1,Royal Challengers Bangalore,Royal Challengers Bangalore
2007/08,Chennai Super Kings,team1,Chennai Super Kings,Chennai Super Kings
2007/08,Deccan Chargers,team1,Mumbai Indians,Mumbai Indians
2007/08,Kings XI Punjab,team1,Kings XI Punjab,Kings XI Punjab
2007/08,Chennai Super Kings,team1,Royal Challengers Bangalore,Royal Challengers Bangalore
2007/08,Mumbai Indians,team1,Kolkata Knight Riders,Kolkata Knight Riders
2007/08,Delhi Daredevils,team1,Delhi Daredevils,Delhi Daredevils
2007/08,Kings XI Punjab,team1,Deccan Chargers,Deccan Chargers
2007/08,Rajasthan Royals,team1,Rajasthan Royals,Rajasthan Royals
2007/08,Delhi Daredevils,team1,Chennai Super Kings,Chennai Super Kings
2007/08,Kings XI Punjab,team1,Kings XI Punjab,Kings XI Punjab
2007/08,Royal Challengers Bangalore,team1,Royal Challengers Bangalore,Royal Challengers Bangalore
2007/08,Mumbai Indians,team1,Mumbai Indians,Mumbai Indians
2007/08,Rajasthan Royals,team1,Rajasthan Royals,Rajasthan Royals
2007/08,Kings XI Punjab,team1,Royal Challengers Bangalore,Royal Challengers Bangalore
2007/08,Deccan Chargers,team1,Chennai Super Kings,Chennai Super Kings
