winner,wins,team,losses,win_loss_percentage
Royal Challengers Bangalore,116,Royal Challengers Bangalore,124,94%
Kolkata Knight Riders,131,Kolkata Knight Riders,120,110%
Mumbai Indians,144,Mumbai Indians,117,124%
Rajasthan Royals,112,Rajasthan Royals,109,103%
Kings XI Punjab,88,Kings XI Punjab,102,87%
Chennai Super Kings,138,Chennai Super Kings,100,138%
Sunrisers Hyderabad,88,Sunrisers Hyderabad,94,94%
Delhi Daredevils,67,Delhi Daredevils,94,72%
Deccan Chargers,29,Deccan Chargers,46,64%
Delhi Capitals,48,Delhi Capitals,43,112%
Pune Warriors,12,Pune Warriors,34,36%
Punjab Kings,24,Punjab Kings,32,75%
Lucknow Super Giants,24,Lucknow Super Giants,20,120%
Gujarat Titans,28,Gujarat Titans,17,165%
Gujarat Lions,13,Gujarat Lions,17,77%
Rising Pune Supergiants,5,Rising Pune Supergiants,9,56%
Royal Challengers Bengaluru,7,Royal Challengers Bengaluru,8,88%
Kochi Tuskers Kerala,6,Kochi Tuskers Kerala,8,75%
Rising Pune Supergiant,10,Rising Pune Supergiant,6,167%
