batter,batsman_runs,ball,strike_rate
J Fraser-McGurk,330,150,220.00000000000003
WG Jacks,230,133,172.93233082706766
PD Salt,653,385,169.6103896103896
T Stubbs,405,239,169.4560669456067
TM Head,772,458,168.5589519650655
AD Russell,2488,1515,164.22442244224422
BCJ Cutting,238,146,163.013698630137
H Klaasen,993,613,161.99021207177816
Ramandeep Singh,170,106,160.37735849056605
Ashutosh Sharma,189,118,160.16949152542372
TH David,659,417,158.0335731414868
SP Narine,1534,984,155.8943089430894
Shashank Singh,423,272,155.51470588235296
K Gowtham,247,159,155.34591194968556
N Pooran,1769,1143,154.7681539807524
LS Livingstone,939,609,154.1871921182266
Rashid Khan,545,355,153.52112676056336
R Ravindra,222,146,152.05479452054794
CR Brathwaite,181,120,150.83333333333334
Bipul Sharma,187,124,150.80645161290323
JC Archer,199,132,150.75757575757575
GJ Maxwell,2772,1842,150.4885993485342
C Green,707,472,149.78813559322032
CH Morris,618,413,149.636803874092
RM Patidar,799,534,149.625468164794
A Raghuvanshi,163,109,149.54128440366972
Abhishek Sharma,1377,925,148.86486486486484
V Sehwag,2728,1833,148.82705946535734
AB de Villiers,5181,3487,148.58044164037855
Abishek Porel,360,244,147.54098360655738
RR Rossouw,473,321,147.35202492211837
YBK Jaiswal,1607,1095,146.7579908675799
Dhruv Jurel,347,237,146.41350210970467
SD Hope,183,125,146.4
JM Sharma,730,501,145.70858283433134
SO Hetmyer,1243,854,145.5503512880562
RR Pant,3297,2296,143.59756097560975
PJ Cummins,515,359,143.4540389972145
PP Shaw,1892,1321,143.22482967448903
P Simran Singh,756,528,143.1818181818182
A Ashish Reddy,280,196,142.85714285714286
MF Maharoof,177,124,142.74193548387098
SA Yadav,3594,2522,142.50594766058683
JC Buttler,3583,2519,142.23898372369987
CH Gayle,4997,3516,142.1217292377702
Abdul Samad,579,408,141.91176470588235
R Powell,360,254,141.73228346456693
D Wiese,148,105,140.95238095238096
Mohammad Nabi,221,157,140.76433121019107
KA Pollard,3437,2447,140.45770331017573
MJ Lumb,278,198,140.4040404040404
JM Bairstow,1589,1132,140.37102473498234
HH Pandya,2534,1814,139.69128996692393
Atharva Taide,247,177,139.54802259887003
S Dube,1502,1077,139.46146703806872
Tilak Varma,1156,830,139.27710843373492
DP Conway,924,669,138.11659192825113
YK Pathan,3222,2334,138.04627249357327
HM Amla,577,418,138.03827751196172
PBB Rajapaksa,277,201,137.81094527363186
MJ Guptill,271,197,137.56345177664974
KR Mayers,379,276,137.31884057971016
Nithish Kumar Reddy,303,221,137.10407239819006
RN ten Doeschate,326,238,136.9747899159664
JA Morkel,975,712,136.93820224719101
MM Ali,1162,849,136.86690223792698
MP Stoinis,1866,1366,136.60322108345534
RK Singh,893,654,136.54434250764527
CA Lynn,1329,974,136.4476386036961
RA Tripathi,2236,1650,135.51515151515153
MK Lomror,527,389,135.47557840616966
DA Warner,6567,4849,135.4299855640338
SV Samson,4419,3270,135.1376146788991
DA Miller,2924,2171,134.68447719944726
SN Thakur,307,228,134.64912280701756
B Sai Sudharsan,1034,770,134.28571428571428
SR Watson,3880,2892,134.1632088520055
N Wadhera,350,261,134.09961685823754
ST Jayasuriya,768,573,134.03141361256544
M Shahrukh Khan,553,413,133.89830508474577
RD Gaikwad,2380,1781,133.63279056709715
JJ Roy,614,460,133.47826086956522
F du Plessis,4571,3435,133.07132459970887
AC Gilchrist,2069,1555,133.05466237942122
MS Dhoni,5243,3947,132.8350646060299
JR Hopes,417,314,132.80254777070064
Ishan Kishan,2644,1991,132.79758915118032
VR Iyer,1326,1000,132.6
SK Raina,5536,4177,132.53531242518554
C de Grandhomme,303,229,132.31441048034935
DR Smith,2385,1803,132.27953410981698
Shubman Gill,3216,2432,132.23684210526315
BJ Rohrer,193,146,132.1917808219178
KP Pietersen,1001,758,132.05804749340368
ML Hayden,1107,839,131.94278903456495
KD Karthik,4843,3687,131.35340385136968
SM Curran,883,673,131.2035661218425
Q de Kock,3160,2410,131.12033195020746
E Lewis,654,499,131.06212424849699
KL Rahul,4689,3578,131.05086640581328
Harbhajan Singh,833,636,130.9748427672956
N Rana,2636,2015,130.81885856079404
D Brevis,230,176,130.6818181818182
BA Stokes,935,718,130.22284122562675
SE Marsh,2489,1913,130.10977522216413
NLTC Perera,424,326,130.06134969325154
JP Faulkner,527,406,129.80295566502463
