partnership,batsman_runs,ball,boundary_rate
NK Patel & M Rawat,1,1,100.0
S Aravind & Z Khan,1,1,100.0
JP Duminy & NM Coulter-Nile,1,1,100.0
RA Tripathi & LH Ferguson,1,1,100.0
DW Steyn & A Ashish Reddy,1,1,100.0
MK Tiwary & AR Patel,1,1,100.0
KMDN Kulasekara & JA Morkel,1,1,100.0
KMA Paul & TA Boult,1,1,100.0
I Sharma & BAW Mendis,1,1,100.0
RV Gomez & AD Mathews,1,1,100.0
DR Smith & RP Singh,3,3,100.0
IK Pathan & B Kumar,1,1,100.0
F du Plessis & RA Tripathi,1,1,100.0
K Rabada & SO Hetmyer,1,1,100.0
JPR Scantlebury-Searles & Shubman Gill,1,1,100.0
K Gowtham & KH Pandya,1,1,100.0
N Rana & MJ Guptill,1,1,100.0
JR Hopes & S Nadeem,2,2,100.0
PN Mankad & LS Livingstone,1,1,100.0
Rasikh Salam & T Stubbs,2,2,100.0
TM Head & S Aravind,3,3,100.0
MS Dhoni & KV Sharma,1,1,100.0
TL Suman & Anirudh Singh,1,1,100.0
TM Head & Anmolpreet Singh,1,1,100.0
KD Karthik & CR Brathwaite,1,1,100.0
R Vinay Kumar & DW Steyn,2,2,100.0
CL White & P Kumar,2,2,100.0
MG Johnson & L Balaji,1,1,100.0
JM Bairstow & YK Pathan,1,1,100.0
KA Pollard & PP Ojha,2,2,100.0
J Syed Mohammad & AB de Villiers,1,1,100.0
GJ Maxwell & CJ Jordan,1,1,100.0
MK Tiwary & WP Saha,4,4,100.0
PP Chawla & M Morkel,1,1,100.0
Mandeep Singh & Mujeeb Ur Rahman,2,2,100.0
KH Pandya & JP Duminy,1,1,100.0
PP Shaw & SN Khan,1,1,100.0
AN Ahmed & Yuvraj Singh,1,1,100.0
AN Ahmed & VR Aaron,1,1,100.0
EJG Morgan & B Lee,2,2,100.0
R Tewatia & R Sai Kishore,1,1,100.0
JA Morkel & SB Styris,2,2,100.0
Z Khan & Misbah-ul-Haq,1,1,100.0
M Manhas & BW Hilfenhaus,1,1,100.0
T Stubbs & Lalit Yadav,1,1,100.0
PJ Cummins & KL Nagarkoti,5,6,83.33333333333334
BJ Hodge & RV Gomez,4,5,80.0
Anuj Rawat & Vijaykumar Vyshak,4,5,80.0
GD Phillips & Abdul Samad,4,5,80.0
J Botha & SA Yadav,4,5,80.0
E Lewis & A Badoni,3,4,75.0
SK Warne & Pankaj Singh,3,4,75.0
M Morkel & A Nehra,3,4,75.0
R Ashwin & Mujeeb Ur Rahman,3,4,75.0
MA Agarwal & Harpreet Brar,3,4,75.0
YK Pathan & AD Mascarenhas,3,4,75.0
PD Salt & A Raghuvanshi,3,4,75.0
Abishek Porel & Kuldeep Yadav,5,7,71.42857142857143
MP Stoinis & K Rabada,5,7,71.42857142857143
CH Morris & NM Coulter-Nile,5,7,71.42857142857143
SN Khan & KM Jadhav,7,10,70.0
AB de Villiers & J Syed Mohammad,7,10,70.0
DA Miller & P Kumar,2,3,66.66666666666666
BB McCullum & DJ Bravo,2,3,66.66666666666666
KM Jadhav & WD Parnell,2,3,66.66666666666666
PVD Chameera & Mohsin Khan,2,3,66.66666666666666
HH Pandya & SZ Mulani,2,3,66.66666666666666
Washington Sundar & Mohammed Siraj,2,3,66.66666666666666
LA Pomersbach & IK Pathan,6,9,66.66666666666666
YK Pathan & T Kohli,2,3,66.66666666666666
HM Amla & EJG Morgan,2,3,66.66666666666666
Shubman Gill & JPR Scantlebury-Searles,2,3,66.66666666666666
DA Miller & BE Hendricks,4,6,66.66666666666666
RP Singh & Shahid Afridi,2,3,66.66666666666666
MA Wood & K Gowtham,2,3,66.66666666666666
T Stubbs & Rasikh Salam,2,3,66.66666666666666
RV Uthappa & A Nel,2,3,66.66666666666666
Rahmanullah Gurbaz & Mandeep Singh,2,3,66.66666666666666
F du Plessis & Saurav Chauhan,2,3,66.66666666666666
N Pooran & K Gowtham,2,3,66.66666666666666
VR Iyer & A Raghuvanshi,2,3,66.66666666666666
B Kumar & P Kumar,2,3,66.66666666666666
PJ Cummins & VR Iyer,10,15,66.66666666666666
SN Thakur & MM Sharma,2,3,66.66666666666666
VR Aaron & YS Chahal,2,3,66.66666666666666
CH Gayle & LA Pomersbach,8,12,66.66666666666666
K Gowtham & JD Unadkat,2,3,66.66666666666666
SM Curran & AJ Tye,6,9,66.66666666666666
Shahid Afridi & SB Styris,4,6,66.66666666666666
R Bhatia & Shakib Al Hasan,2,3,66.66666666666666
Shahbaz Ahmed & Washington Sundar,2,3,66.66666666666666
KD Karthik & MG Johnson,2,3,66.66666666666666
JA Morkel & DJ Muthuswami,2,3,66.66666666666666
Misbah-ul-Haq & Z Khan,4,6,66.66666666666666
BCJ Cutting & B Kumar,5,8,62.5
Yuvraj Singh & WD Parnell,5,8,62.5
Shashank Singh & M Jansen,5,8,62.5
HH Pandya & TG Southee,5,8,62.5
GJ Maxwell & C Green,3,5,60.0
RR Pant & AD Mathews,6,10,60.0
KV Sharma & Mohammed Siraj,3,5,60.0
RG Sharma & D Kalyankrishna,6,10,60.0
Gurkeerat Singh & PP Chawla,3,5,60.0
NV Ojha & RJ Quiney,3,5,60.0
MM Ali & BA Stokes,3,5,60.0
TH David & HR Shokeen,3,5,60.0
AC Gilchrist & DA Miller,3,5,60.0
SN Khan & C de Grandhomme,3,5,60.0
Mohammad Nabi & KM Jadhav,3,5,60.0
S Sreesanth & Bipul Sharma,3,5,60.0
RG Sharma & AS Yadav,6,10,60.0
KL Rahul & AJ Tye,3,5,60.0
SN Thakur & F du Plessis,3,5,60.0
DA Warner & Rashid Khan,4,7,57.14285714285714
LS Livingstone & PN Mankad,4,7,57.14285714285714
Mandeep Singh & D Wiese,4,7,57.14285714285714
TK Curran & AS Rajpoot,4,7,57.14285714285714
CJ Anderson & PJ Cummins,4,7,57.14285714285714
S Dhawan & A Ashish Reddy,4,7,57.14285714285714
KD Karthik & Akash Deep,4,7,57.14285714285714
V Shankar & Mohammad Nabi,4,7,57.14285714285714
J Fraser-McGurk & Abishek Porel,43,77,55.84415584415584
YV Takawale & RR Raje,5,9,55.55555555555556
R Shepherd & TH David,10,18,55.55555555555556
B Akhil & CL White,5,9,55.55555555555556
AD Russell & TK Curran,5,9,55.55555555555556
M Vohra & MM Sharma,6,11,54.54545454545454
RK Singh & VG Arora,7,13,53.84615384615385
N Pooran & PN Mankad,7,13,53.84615384615385
MS Dhoni & SN Thakur,8,15,53.333333333333336
YK Pathan & P Dogra,17,33,51.515151515151516
RA Jadeja & D Pretorius,1,2,50.0
MK Lomror & S Gopal,1,2,50.0
DJ Bravo & PR Shah,1,2,50.0
YK Pathan & Iqbal Abdulla,1,2,50.0
Mohammad Nabi & MJ Guptill,1,2,50.0
SC Ganguly & I Sharma,3,6,50.0
VRV Singh & B Lee,1,2,50.0
SM Pollock & RR Raje,3,6,50.0
MV Boucher & MK Pandey,2,4,50.0
SB Styris & JA Morkel,1,2,50.0
MS Dhoni & Washington Sundar,1,2,50.0
MJ Santner & Imran Tahir,1,2,50.0
AR Patel & MK Tiwary,1,2,50.0
Mohammed Shami & SS Iyer,1,2,50.0
SB Dubey & R Powell,2,4,50.0
MK Lomror & JD Unadkat,1,2,50.0
Ishan Kishan & AJ Tye,4,8,50.0
K Gowtham & Naveen-ul-Haq,2,4,50.0
Mohsin Khan & PVD Chameera,1,2,50.0
WP Saha & Umar Gul,1,2,50.0
CH Morris & I Udana,4,8,50.0
SB Bangar & RP Singh,1,2,50.0
SN Khan & STR Binny,1,2,50.0
P Simran Singh & Harpreet Brar,2,4,50.0
J Suchith & KS Williamson,3,6,50.0
GJ Maxwell & MP Stoinis,1,2,50.0
MG Johnson & Kuldeep Yadav,2,4,50.0
Yuvraj Singh & CJ Ferguson,8,16,50.0
KA Pollard & FA Allen,3,6,50.0
RV Uthappa & SD Chitnis,3,6,50.0
J Yadav & KH Pandya,2,4,50.0
SN Thakur & RR Pant,1,2,50.0
AD Mathews & NM Coulter-Nile,3,6,50.0
CJ Anderson & J Suchith,2,4,50.0
AR Patel & S Dhawan,3,6,50.0
Mandeep Singh & Gurkeerat Singh,2,4,50.0
AN Ahmed & HV Patel,1,2,50.0
RS Sodhi & IK Pathan,1,2,50.0
P Negi & SR Watson,3,6,50.0
DA Warner & TM Dilshan,4,8,50.0
DJ Hussey & Bipul Sharma,1,2,50.0
P Negi & IK Pathan,1,2,50.0
SS Iyer & PJ Cummins,7,14,50.0
AR Patel & I Sharma,2,4,50.0
MJ McClenaghan & LMP Simmons,2,4,50.0
R Sharma & SB Wagh,1,2,50.0
Nithish Kumar Reddy & Abdul Samad,4,8,50.0
Iqbal Abdulla & Sachin Baby,1,2,50.0
MP Stoinis & Lalit Yadav,1,2,50.0
WP Saha & S Badrinath,1,2,50.0
MP Stoinis & KR Mayers,1,2,50.0
N Wadhera & HR Shokeen,3,6,50.0
AK Markram & SN Khan,1,2,50.0
DB Ravi Teja & DR Smith,1,2,50.0
MK Tiwary & MF Maharoof,2,4,50.0
AJ Finch & MK Tiwary,1,2,50.0
WP Saha & R Dhawan,1,2,50.0
Harpreet Brar & GC Viljoen,1,2,50.0
SK Raina & C Ganapathy,1,2,50.0
Harmeet Singh & PP Chawla,3,6,50.0
DB Ravi Teja & DNT Zoysa,1,2,50.0
Harbhajan Singh & R Dhawan,1,2,50.0
SS Tiwary & JA Morkel,2,4,50.0
VR Iyer & MA Starc,1,2,50.0
AT Rayudu & PP Ojha,1,2,50.0
DB Ravi Teja & CL White,1,2,50.0
AK Markram & B Kumar,2,4,50.0
HV Patel & RR Rossouw,1,2,50.0
MM Ali & C de Grandhomme,1,2,50.0
HV Patel & CH Gayle,1,2,50.0
N Wadhera & C Green,1,2,50.0
N Saini & Bipul Sharma,1,2,50.0
YK Pathan & CA Lynn,4,8,50.0
DJ Hooda & KS Sharma,1,2,50.0
AUK Pathan & MA Agarwal,3,6,50.0
JD Unadkat & KA Pollard,3,6,50.0
IK Pathan & P Negi,1,2,50.0
Naman Dhir & R Shepherd,1,2,50.0
YBK Jaiswal & Dhruv Jurel,1,2,50.0
MK Lomror & Swapnil Singh,1,2,50.0
SPD Smith & AJ Turner,1,2,50.0
SD Chitnis & CRD Fernando,2,4,50.0
N Rana & LH Ferguson,1,2,50.0
Abhishek Sharma & JO Holder,1,2,50.0
N Rana & LMP Simmons,1,2,50.0
TH David & Ramandeep Singh,5,10,50.0
HH Pandya & N Rana,5,10,50.0
JH Kallis & LR Shukla,2,4,50.0
MR Marsh & M Rawat,1,2,50.0
JH Kallis & RN ten Doeschate,3,6,50.0
SPD Smith & MP Stoinis,2,4,50.0
MP Stoinis & R Ashwin,7,14,50.0
NV Ojha & RA Jadeja,4,8,50.0
I Sharma & Anureet Singh,1,2,50.0
RA Jadeja & PJ Sangwan,2,4,50.0
Harbhajan Singh & MG Johnson,6,12,50.0
I Udana & Washington Sundar,1,2,50.0
LA Pomersbach & P Awana,1,2,50.0
Sandeep Sharma & S Kaul,1,2,50.0
STR Binny & R Bhatia,1,2,50.0
B Lee & VRV Singh,1,2,50.0
DA Miller & F Behardien,1,2,50.0
F du Plessis & SN Thakur,2,4,50.0
DPMD Jayawardene & S Nadeem,2,4,50.0
M Vohra & PP Chawla,1,2,50.0
R Parag & YS Chahal,4,8,50.0
PJ Sangwan & SP Narine,1,2,50.0
DJ Willey & Mohammed Siraj,1,2,50.0
KK Nair & MM Sharma,3,6,50.0
Shashank Singh & Harpreet Brar,4,8,50.0
KD Karthik & DJ Bravo,2,4,50.0
CR Brathwaite & SW Billings,5,10,50.0
B Stanlake & DJ Hooda,1,2,50.0
MA Agarwal & JA Morkel,1,2,50.0
RE van der Merwe & AB Dinda,1,2,50.0
PJ Cummins & K Rabada,1,2,50.0
DA Miller & CH Morris,2,4,50.0
R Ashwin & SB Jakati,1,2,50.0
TH David & Mohammad Nabi,2,4,50.0
R Bhatia & TM Dilshan,1,2,50.0
DT Christian & A Ashish Reddy,2,4,50.0
PP Chawla & L Wood,1,2,50.0
B Sai Sudharsan & PJ Sangwan,1,2,50.0
PP Chawla & KD Karthik,1,2,50.0
M Morkel & VR Aaron,2,4,50.0
DT Christian & MS Dhoni,1,2,50.0
F du Plessis & MM Sharma,1,2,50.0
S Badrinath & Joginder Sharma,1,2,50.0
RN ten Doeschate & GB Hogg,3,6,50.0
DS Kulkarni & P Kumar,2,4,50.0
KM Jadhav & A Mishra,2,4,50.0
Bipul Sharma & P Kumar,2,4,50.0
Shahbaz Ahmed & KS Bharat,1,2,50.0
BB McCullum & Mohammad Hafeez,7,14,50.0
DR Smith & Harbhajan Singh,1,2,50.0
CR Brathwaite & CH Morris,2,4,50.0
V Kohli & DL Vettori,2,4,50.0
Ramandeep Singh & DR Sams,1,2,50.0
BCJ Cutting & JJ Bumrah,1,2,50.0
M Morkel & CM Gautam,2,4,50.0
BB McCullum & P Negi,2,4,50.0
AB de Villiers & A Mithun,1,2,50.0
SS Tiwary & RV Uthappa,1,2,50.0
Washington Sundar & CR Woakes,2,4,50.0
KK Nair & BJ Hodge,1,2,50.0
R McLaren & NJ Rimmington,2,4,50.0
KV Sharma & Parvez Rasool,1,2,50.0
M Manhas & R Sharma,1,2,50.0
AB Agarkar & Iqbal Abdulla,1,2,50.0
GJ Maxwell & AR Patel,3,6,50.0
R Dravid & DW Steyn,1,2,50.0
DL Chahar & R Bhatia,2,4,50.0
B Akhil & R Vinay Kumar,1,2,50.0
Avesh Khan & PVD Chameera,2,4,50.0
Avesh Khan & MP Stoinis,1,2,50.0
R Powell & SB Dubey,1,2,50.0
KV Sharma & KA Pollard,5,10,50.0
DJ Hussey & Mashrafe Mortaza,1,2,50.0
DJ Thornely & DJ Bravo,1,2,50.0
GJ Maxwell & KA Jamieson,3,6,50.0
KS Williamson & Parvez Rasool,2,4,50.0
Salman Butt & LR Shukla,1,2,50.0
T Stubbs & Arshad Khan,1,2,50.0
Shivam Sharma & MG Johnson,1,2,50.0
MA Agarwal & Z Khan,7,14,50.0
S Nadeem & Rashid Khan,1,2,50.0
