bowler,ball_total,ball_dot,dot_percentage
AC Gilchrist,1,1,100.0
SS Iyer,6,4,66.66666666666666
SS Mundhe,7,4,57.14285714285714
LA Carseldine,7,4,57.14285714285714
DJ Muthuswami,84,44,52.38095238095239
NB Singh,25,13,52.0
MP Yadav,76,39,51.31578947368421
JW Hastings,61,31,50.81967213114754
P Prasanth,6,3,50.0
Sachin Baby,10,5,50.0
Y Gnaneswara Rao,6,3,50.0
Shoaib Akhtar,46,23,50.0
NJ Rimmington,18,9,50.0
SM Harwood,67,33,49.25373134328358
R Rampaul,278,130,46.76258992805755
FH Edwards,150,70,46.666666666666664
GD McGrath,329,153,46.504559270516715
M Ntini,213,99,46.478873239436616
SM Pollock,280,130,46.42857142857143
V Kaverappa,24,11,45.83333333333333
Sohail Tanvir,265,121,45.660377358490564
IC Pandey,469,212,45.20255863539446
DW Steyn,2282,1019,44.65381244522349
WPUJC Vaas,288,128,44.44444444444444
BW Hilfenhaus,390,173,44.35897435897436
SS Cottrell,131,58,44.274809160305345
A Chandila,234,103,44.01709401709402
MW Short,25,11,44.0
N Burger,105,46,43.80952380952381
RJ Peterson,48,21,43.75
DJ Thornely,44,19,43.18181818181818
R Sanjay Yadav,14,6,42.857142857142854
MM Patel,1382,590,42.6917510853835
B Stanlake,150,64,42.66666666666667
JC Archer,987,420,42.5531914893617
Simarjeet Singh,193,82,42.487046632124354
DE Bollinger,600,254,42.333333333333336
S Tyagi,220,93,42.27272727272727
S Sreesanth,947,399,42.13305174234424
ND Doshi,57,24,42.10526315789473
RJ Harris,865,364,42.08092485549133
KMDN Kulasekara,107,45,42.05607476635514
D du Preez,43,18,41.86046511627907
CK Langeveldt,165,69,41.81818181818181
M Morkel,1699,708,41.6715715126545
SB Wagh,108,45,41.66666666666667
R Ravindra,12,5,41.66666666666667
C Munro,12,5,41.66666666666667
RR Bose,12,5,41.66666666666667
JR Hazlewood,622,259,41.639871382636656
S Badree,263,109,41.44486692015209
DP Nannes,689,285,41.36429608127721
NM Coulter-Nile,892,368,41.25560538116592
Mohsin Khan,507,209,41.222879684418146
MG Johnson,1301,535,41.12221368178324
PVD Chameera,297,122,41.07744107744108
S Sandeep Warrier,176,72,40.909090909090914
B Lee,916,374,40.8296943231441
P Kumar,2637,1075,40.76602199469094
TA Boult,2428,986,40.609555189456344
DL Chahar,1746,708,40.549828178694156
A Nehra,1974,798,40.42553191489361
Mukesh Choudhary,298,120,40.26845637583892
P Parameswaran,159,64,40.25157232704403
B Kumar,4060,1632,40.19704433497537
AD Mascarenhas,310,124,40.0
DAJ Bracewell,25,10,40.0
I Sharma,2429,969,39.89296006587073
Navdeep Saini,682,272,39.882697947214076
CRD Fernando,249,99,39.75903614457831
RP Singh,1874,744,39.701173959445036
Azmatullah Omarzai,131,52,39.69465648854962
YA Abdulla,222,88,39.63963963963964
DP Vijaykumar,159,63,39.62264150943396
VS Malik,212,84,39.62264150943396
T Thushara,144,57,39.58333333333333
DS Kulkarni,1876,742,39.55223880597015
GH Vihari,43,17,39.53488372093023
IK Pathan,2113,835,39.51727401798391
Umran Malik,519,205,39.4990366088632
AB Dinda,1589,627,39.458779106356204
MG Bracewell,66,26,39.39393939393939
JE Taylor,122,48,39.34426229508197
SE Bond,191,75,39.26701570680628
AA Chavan,255,100,39.21568627450981
WD Parnell,758,296,39.050131926121374
Mohammed Shami,2521,984,39.03213010710036
A Nel,18,7,38.88888888888889
A Choudhary,108,42,38.88888888888889
T Henderson,36,14,38.88888888888889
A Singh,486,189,38.88888888888889
DJM Short,18,7,38.88888888888889
Mohammed Siraj,2081,806,38.731379144642
M Prasidh Krishna,1231,475,38.58651502843217
JJ Bumrah,3185,1228,38.555729984301415
KA Jamieson,179,69,38.547486033519554
AC Thomas,327,126,38.53211009174312
SL Malinga,2974,1144,38.46671149966375
S Vidyut,13,5,38.46153846153847
KAJ Roach,52,20,38.46153846153847
J Yadav,398,153,38.44221105527638
Sandeep Sharma,2925,1122,38.35897435897436
Z Khan,2276,873,38.35676625659051
L Ngidi,342,131,38.30409356725146
JJ van der Wath,76,29,38.15789473684211
RV Gomez,97,37,38.144329896907216
KK Ahmed,1345,512,38.066914498141266
A Kumble,983,374,38.046795523906404
MA Starc,879,334,37.997724687144476
M Muralitharan,1581,600,37.95066413662239
M Siddharth,58,22,37.93103448275862
P Awana,774,293,37.85529715762274
SP Narine,4146,1569,37.84370477568741
Yudhvir Singh,74,28,37.83783783783784
MJ McClenaghan,1346,507,37.667161961367015
MS Gony,925,348,37.62162162162162
K Rabada,1907,717,37.598321971683276
Akash Singh,141,53,37.5886524822695
SR Watson,2137,803,37.57604117922321
AG Murtaza,269,101,37.54646840148699
RR Powar,443,166,37.471783295711056
SW Tait,534,200,37.453183520599254
SMSM Senanayake,195,73,37.43589743589744
MF Maharoof,441,165,37.41496598639456
KW Richardson,345,129,37.391304347826086
SB Styris,222,83,37.38738738738739
RJ Gleeson,51,19,37.254901960784316
UT Yadav,3190,1186,37.17868338557994
CH Morris,1801,668,37.09050527484731
MA Wood,127,47,37.00787401574803
Shivam Mavi,687,254,36.972343522561864
OF Smith,95,35,36.84210526315789
CJ Dala,19,7,36.84210526315789
S Aravind,788,290,36.80203045685279
Harshit Rana,403,148,36.72456575682382
JP Behrendorff,379,139,36.675461741424805
BMAJ Mendis,30,11,36.666666666666664
HR Shokeen,213,78,36.61971830985916
A Nortje,1097,401,36.5542388331814
Rashid Khan,2901,1060,36.53912443984833
AM Salvi,156,57,36.53846153846153
Ankit Sharma,375,137,36.53333333333333
DR Sams,389,142,36.50385604113111
VR Aaron,1065,387,36.33802816901409
PWH de Silva,557,202,36.2657091561939
MJ Santner,370,134,36.21621621621622
Arjun Tendulkar,83,30,36.144578313253014
M Jansen,487,176,36.139630390143736
Harbhajan Singh,3496,1263,36.12700228832952
MN Samuels,219,79,36.07305936073059
Azhar Mahmood,552,199,36.05072463768116
T Stubbs,25,9,36.0
SB Bangar,153,55,35.947712418300654
CV Varun,1624,582,35.83743842364532
J Botha,709,254,35.82510578279267
JA Morkel,1807,646,35.749861649142225
DJ Willey,221,79,35.74660633484163
R Sharma,935,334,35.721925133689844
K Upadhyay,56,20,35.714285714285715
M Manhas,42,15,35.714285714285715
Abdur Razzak,14,5,35.714285714285715
Pankaj Singh,311,111,35.69131832797427
AS Joseph,454,162,35.68281938325991
Kamran Khan,177,63,35.59322033898305
S Lamichhane,211,75,35.54502369668246
RJW Topley,107,38,35.51401869158878
PM Sarvesh Kumar,31,11,35.483870967741936
RP Meredith,415,147,35.42168674698795
TG Southee,1262,447,35.41996830427892
AL Menaria,113,40,35.39823008849557
Avesh Khan,1390,491,35.32374100719424
CJ Green,17,6,35.294117647058826
PJ Sangwan,905,319,35.248618784530386
A Symonds,540,190,35.18518518518518
Anand Rajan,162,57,35.18518518518518
IS Sodhi,182,64,35.16483516483517
Jaskaran Singh,111,39,35.13513513513514
Yash Dayal,615,216,35.12195121951219
Iqbal Abdulla,943,331,35.100742311770944
LH Ferguson,1002,351,35.029940119760475
Harmeet Singh,574,201,35.01742160278746
Mohammad Hafeez,63,22,34.92063492063492
R Vinay Kumar,2186,763,34.90393412625801
Mohammad Nabi,419,146,34.84486873508354
SK Warne,1223,426,34.8323793949305
DNT Zoysa,69,24,34.78260869565217
Tilak Varma,23,8,34.78260869565217
CR Woakes,463,161,34.77321814254859
J Little,236,82,34.74576271186441
S Dhawan,49,17,34.69387755102041
JL Pattinson,222,77,34.68468468468468
Fazalhaq Farooqi,162,56,34.5679012345679
MM Ali,770,266,34.54545454545455
VG Arora,418,144,34.44976076555024
A Mishra,3444,1185,34.40766550522648
DL Vettori,785,270,34.394904458598724
K Gowtham,599,206,34.390651085141904
SH Johnson,99,34,34.34343434343434
Mustafizur Rahman,1353,464,34.29416112342942
PP Ojha,1945,667,34.29305912596401
TU Deshpande,831,284,34.17569193742479
GB Hogg,466,159,34.12017167381974
L Balaji,1574,537,34.11689961880559
PJ Cummins,1370,467,34.087591240875916
S Ladda,141,48,34.04255319148936
