partnership,total_runs
AB de Villiers & V Kohli,1623
CH Gayle & V Kohli,1617
V Kohli & AB de Villiers,1511
DA Warner & S Dhawan,1420
V Kohli & CH Gayle,1185
RV Uthappa & G Gambhir,1077
V Kohli & F du Plessis,1050
Ishan Kishan & RG Sharma,992
F du Plessis & V Kohli,982
S Dhawan & DA Warner,937
CH Gayle & KL Rahul,909
MA Agarwal & KL Rahul,906
RG Sharma & Ishan Kishan,876
MS Dhoni & RA Jadeja,874
JC Buttler & SV Samson,832
G Gambhir & RV Uthappa,829
KL Rahul & MA Agarwal,825
PP Shaw & S Dhawan,816
SV Samson & JC Buttler,805
SK Raina & MS Dhoni,794
RR Pant & SS Iyer,769
DR Smith & BB McCullum,738
KL Rahul & CH Gayle,724
JM Bairstow & DA Warner,723
MEK Hussey & M Vijay,712
RA Jadeja & MS Dhoni,704
RG Sharma & KA Pollard,695
MS Dhoni & SK Raina,688
DA Warner & JM Bairstow,678
SK Raina & MEK Hussey,670
Q de Kock & RG Sharma,666
M Vijay & MEK Hussey,655
YBK Jaiswal & JC Buttler,653
R Dravid & AM Rahane,650
KA Pollard & RG Sharma,649
RD Gaikwad & DP Conway,648
S Dhawan & PP Shaw,645
WP Saha & Shubman Gill,633
Shubman Gill & B Sai Sudharsan,629
SR Watson & AM Rahane,625
BB McCullum & DR Smith,625
RG Sharma & Q de Kock,608
SS Iyer & RR Pant,599
RV Uthappa & MK Pandey,597
SK Raina & F du Plessis,589
RG Sharma & AT Rayudu,585
AT Rayudu & RG Sharma,580
CH Gayle & TM Dilshan,568
DP Conway & RD Gaikwad,560
BB McCullum & SK Raina,554
JC Buttler & YBK Jaiswal,548
KA Pollard & AT Rayudu,547
AM Rahane & SR Watson,544
V Sehwag & G Gambhir,534
SA Yadav & Ishan Kishan,527
SV Samson & AM Rahane,525
G Gambhir & JH Kallis,522
AC Gilchrist & HH Gibbs,518
B Sai Sudharsan & Shubman Gill,517
D Padikkal & V Kohli,509
Q de Kock & KL Rahul,503
MEK Hussey & SK Raina,498
AM Rahane & R Dravid,495
Shubman Gill & WP Saha,486
HH Pandya & KA Pollard,483
S Dhawan & SS Iyer,480
MS Dhoni & DJ Bravo,479
AT Rayudu & KA Pollard,476
RD Gaikwad & F du Plessis,470
F du Plessis & SK Raina,467
MK Pandey & DA Warner,461
KS Williamson & S Dhawan,460
ST Jayasuriya & SR Tendulkar,460
F du Plessis & SR Watson,456
YBK Jaiswal & SV Samson,444
MK Pandey & RV Uthappa,443
AD Russell & KD Karthik,442
Ishan Kishan & SA Yadav,439
JH Kallis & G Gambhir,439
S Dhawan & KS Williamson,438
G Gambhir & MK Pandey,438
V Kohli & D Padikkal,437
KA Pollard & HH Pandya,436
SK Raina & S Badrinath,433
AM Rahane & SV Samson,432
PA Patel & LMP Simmons,429
MS Dhoni & AT Rayudu,428
SA Yadav & RG Sharma,427
LMP Simmons & PA Patel,425
F du Plessis & RD Gaikwad,424
DA Warner & MK Pandey,423
SK Raina & BB McCullum,422
SA Yadav & Tilak Varma,418
GJ Maxwell & DA Miller,417
SR Watson & AT Rayudu,412
PP Shaw & DA Warner,411
V Sehwag & DA Warner,411
DJ Hooda & KL Rahul,408
HH Gibbs & AC Gilchrist,403
SP Narine & CA Lynn,402
SV Samson & KK Nair,401
G Gambhir & V Sehwag,399
DR Smith & SK Raina,399
SR Watson & R Dravid,392
GJ Maxwell & F du Plessis,391
SR Watson & F du Plessis,390
KL Rahul & Q de Kock,389
SS Iyer & S Dhawan,388
S Badrinath & SK Raina,387
DA Warner & NV Ojha,384
AT Rayudu & MS Dhoni,384
JC Buttler & D Padikkal,381
TM Head & Abhishek Sharma,380
SV Samson & YBK Jaiswal,378
MK Pandey & G Gambhir,374
M Vijay & SK Raina,373
KL Rahul & DJ Hooda,371
DA Warner & PP Shaw,368
N Rana & Shubman Gill,364
AM Rahane & SPD Smith,363
YK Pathan & MK Pandey,362
AC Gilchrist & SE Marsh,359
MS Dhoni & S Badrinath,359
DA Warner & MC Henriques,358
SPD Smith & AM Rahane,356
DA Warner & V Sehwag,354
MA Agarwal & CH Gayle,353
R Dravid & SR Watson,353
TM Dilshan & CH Gayle,341
SK Raina & DR Smith,340
SK Raina & M Vijay,340
N Pooran & KL Rahul,339
DJ Bravo & MS Dhoni,339
JH Kallis & MK Pandey,338
MK Pandey & YK Pathan,336
AT Rayudu & SR Watson,336
MP Stoinis & KL Rahul,335
CH Gayle & MA Agarwal,335
Shubman Gill & N Rana,333
CA Lynn & SP Narine,329
F du Plessis & MS Dhoni,325
KL Rahul & MP Stoinis,325
NV Ojha & DA Warner,324
AT Rayudu & SR Tendulkar,321
