batter,half_century
A Ashish Reddy,0
A Badoni,4
A Chandila,0
A Chopra,0
A Choudhary,0
A Dananjaya,0
A Flintoff,0
A Kamboj,0
A Kumble,0
A Manohar,0
A Mishra,0
A Mithun,0
A Mukund,0
A Nehra,0
A Nortje,0
A Raghuvanshi,1
A Singh,0
A Symonds,5
A Tomar,0
A Uniyal,0
A Zampa,0
AA Bilakhia,0
AA Chavan,0
AA Jhunjhunwala,1
AA Kulkarni,0
AA Noffke,0
AB Agarkar,0
AB Barath,0
AB Dinda,0
AB McDonald,0
AB de Villiers,41
AC Blizzard,1
AC Gilchrist,11
AC Thomas,0
AC Voges,0
AD Hales,0
AD Mascarenhas,0
AD Mathews,1
AD Nath,0
AD Russell,11
AF Milne,0
AG Murtaza,0
AG Paunikar,0
AJ Finch,15
AJ Hosein,0
AJ Turner,0
AJ Tye,0
AK Markram,5
AL Menaria,0
AM Nayar,0
AM Rahane,30
AN Ahmed,0
AN Ghosh,0
AP Dole,0
AP Majumdar,0
AP Tare,1
AR Bawne,0
AR Patel,3
AS Joseph,0
AS Rajpoot,0
AS Raut,0
AS Roy,0
AS Yadav,0
AT Carey,0
AT Rayudu,22
AU Rashid,0
AUK Pathan,0
Abdul Basith,0
Abdul Samad,0
Abdur Razzak,0
Abhishek Sharma,7
Abishek Porel,2
Akash Deep,0
Akash Madhwal,0
Aman Hakim Khan,1
Anirudh Singh,0
Ankit Sharma,0
Ankit Soni,0
Anmolpreet Singh,0
Anuj Rawat,1
Anureet Singh,0
Arjun Tendulkar,0
Arshad Khan,1
Arshad Khan (2),0
Arshdeep Singh,0
Ashutosh Sharma,1
Atharva Taide,2
Avesh Khan,0
Azhar Mahmood,2
Azmatullah Omarzai,0
B Akhil,0
B Chipli,1
B Indrajith,0
B Kumar,0
B Laughlin,0
B Lee,0
B Sai Sudharsan,6
B Stanlake,0
B Sumanth,0
BA Bhatt,0
BA Stokes,2
BAW Mendis,0
BB McCullum,13
BB Samantray,1
BB Sran,0
BCJ Cutting,0
BE Hendricks,0
BJ Haddin,0
BJ Hodge,6
BJ Rohrer,1
BMAJ Mendis,0
