season,batter,batsman_runs,ball,run_rate
2007/08,A Symonds,161,111,8.702702702702704
2007/08,AB de Villiers,95,100,5.699999999999999
2007/08,AC Gilchrist,436,328,7.975609756097562
2007/08,AM Nayar,206,142,8.704225352112676
2007/08,AM Rahane,4,19,1.263157894736842
2007/08,BB McCullum,188,96,11.75
2007/08,BJ Hodge,12,18,4.0
2007/08,CL White,114,105,6.514285714285714
2007/08,DJ Bravo,178,137,7.795620437956204
2007/08,DJ Hussey,319,267,7.168539325842697
2007/08,DPMD Jayawardene,179,138,7.782608695652174
2007/08,DR Smith,45,41,6.585365853658537
2007/08,G Gambhir,534,394,8.131979695431472
2007/08,GC Smith,441,375,7.055999999999999
2007/08,HH Gibbs,167,159,6.30188679245283
2007/08,Harbhajan Singh,30,17,10.588235294117647
2007/08,IK Pathan,131,120,6.549999999999999
2007/08,JA Morkel,241,168,8.607142857142858
2007/08,JH Kallis,199,188,6.351063829787234
2007/08,KC Sangakkara,320,207,9.27536231884058
2007/08,KD Karthik,145,108,8.055555555555555
2007/08,LRPL Taylor,149,85,10.51764705882353
2007/08,MEK Hussey,168,100,10.08
2007/08,MK Pandey,3,10,1.7999999999999998
2007/08,MK Tiwary,104,87,7.172413793103448
2007/08,ML Hayden,189,135,8.399999999999999
2007/08,MS Dhoni,414,319,7.786833855799374
2007/08,PA Patel,302,315,5.752380952380952
2007/08,PP Chawla,90,61,8.852459016393443
2007/08,R Dravid,371,299,7.4448160535117065
2007/08,RA Jadeja,135,108,7.5
2007/08,RG Sharma,404,276,8.782608695652174
2007/08,RV Uthappa,320,291,6.5979381443298974
2007/08,S Badrinath,192,138,8.347826086956522
2007/08,S Dhawan,340,308,6.623376623376624
2007/08,SC Ganguly,349,324,6.462962962962962
2007/08,SE Marsh,616,452,8.176991150442477
2007/08,SK Raina,421,304,8.30921052631579
2007/08,SR Tendulkar,188,189,5.968253968253968
2007/08,SR Watson,472,322,8.795031055900623
2007/08,SS Tiwary,26,20,7.800000000000001
2007/08,ST Jayasuriya,514,333,9.26126126126126
2007/08,TM Dilshan,104,79,7.898734177215189
2007/08,V Kohli,165,168,5.892857142857142
2007/08,V Sehwag,406,229,10.637554585152838
2007/08,WP Saha,159,119,8.016806722689076
2007/08,Y Venugopal Rao,288,217,7.9631336405529956
2007/08,YK Pathan,435,253,10.316205533596838
2007/08,Yuvraj Singh,299,191,9.392670157068062
2009,A Symonds,249,171,8.736842105263158
2009,AB de Villiers,465,359,7.77158774373259
2009,AC Gilchrist,495,337,8.813056379821958
2009,AD Mathews,16,14,6.857142857142857
2009,AM Nayar,193,155,7.470967741935484
2009,AM Rahane,144,128,6.75
2009,BB McCullum,286,248,6.919354838709678
2009,BJ Hodge,365,317,6.908517350157728
2009,CH Gayle,184,159,6.943396226415095
2009,DA Warner,163,137,7.138686131386861
2009,DJ Bravo,218,211,6.199052132701421
2009,DJ Hussey,98,61,9.639344262295083
2009,DPMD Jayawardene,219,172,7.6395348837209305
2009,DR Smith,215,134,9.626865671641792
2009,G Gambhir,286,283,6.063604240282686
2009,GC Smith,212,222,5.72972972972973
2009,GJ Bailey,45,40,6.75
2009,HH Gibbs,371,344,6.470930232558139
2009,Harbhajan Singh,84,57,8.842105263157894
2009,IK Pathan,196,164,7.170731707317072
2009,JA Morkel,97,73,7.972602739726027
2009,JD Ryder,56,49,6.857142857142857
2009,JH Kallis,361,349,6.206303724928366
2009,JP Duminy,372,334,6.682634730538922
2009,KC Sangakkara,332,332,6.0
2009,KD Karthik,288,224,7.714285714285715
2009,KP Pietersen,93,89,6.269662921348315
2009,LRPL Taylor,280,211,7.962085308056872
2009,M Manhas,75,65,6.9230769230769225
2009,M Vijay,60,69,5.217391304347826
2009,MC Henriques,38,40,5.699999999999999
2009,MK Pandey,168,120,8.399999999999999
2009,MK Tiwary,9,13,4.153846153846153
2009,ML Hayden,572,409,8.39119804400978
2009,MS Dhoni,332,270,7.377777777777778
2009,NV Ojha,168,145,6.951724137931035
2009,PA Patel,142,131,6.5038167938931295
2009,PC Valthaty,6,12,3.0
