batter,six,four
CH Gayle,359,408
RG Sharma,281,599
V Kohli,273,708
AB de Villiers,253,414
MS Dhoni,252,363
DA Warner,236,663
KA Pollard,224,221
AD Russell,209,171
SV Samson,206,352
SK Raina,204,506
SR Watson,190,377
KL Rahul,187,400
RV Uthappa,182,481
AT Rayudu,173,359
F du Plessis,166,422
KD Karthik,161,466
YK Pathan,161,263
JC Buttler,161,356
GJ Maxwell,160,233
RR Pant,154,298
S Dhawan,153,768
Yuvraj Singh,149,218
HH Pandya,137,189
DA Miller,134,207
N Rana,132,234
BB McCullum,130,293
SA Yadav,130,385
N Pooran,127,113
Q de Kock,123,316
Ishan Kishan,119,255
DR Smith,117,245
SS Iyer,113,272
MK Pandey,111,335
RA Jadeja,107,215
V Sehwag,106,334
AM Rahane,103,479
S Dube,101,86
MA Agarwal,98,265
SP Narine,97,164
Shubman Gill,95,310
AC Gilchrist,92,239
RD Gaikwad,91,217
M Vijay,91,247
MP Stoinis,91,150
WP Saha,87,296
RA Tripathi,84,223
SO Hetmyer,82,76
NV Ojha,79,121
AR Patel,79,107
JP Duminy,79,126
AJ Finch,78,214
SE Marsh,78,269
Abhishek Sharma,73,128
JM Bairstow,69,166
MM Ali,67,95
CA Lynn,66,132
DJ Bravo,66,120
LS Livingstone,66,66
YBK Jaiswal,64,199
H Klaasen,64,56
EJG Morgan,64,112
KS Williamson,64,187
DJ Hooda,61,96
VR Iyer,61,121
KH Pandya,61,144
PP Shaw,61,238
SPD Smith,60,226
R Parag,60,84
DJ Hussey,60,90
G Gambhir,59,492
Tilak Varma,58,90
JA Morkel,55,61
RM Patidar,54,51
MEK Hussey,52,198
SS Tiwary,50,111
PA Patel,49,365
R Tewatia,47,84
TH David,46,38
RK Singh,46,67
LRPL Taylor,46,66
V Shankar,45,80
JM Sharma,45,53
JH Kallis,44,255
LMP Simmons,44,109
ML Hayden,44,121
M Vohra,43,104
BJ Hodge,43,122
SC Ganguly,42,137
Harbhajan Singh,42,79
D Padikkal,42,170
P Simran Singh,41,78
A Symonds,41,74
DPMD Jayawardene,40,200
MK Tiwary,40,156
TM Head,40,76
KM Jadhav,40,102
KP Pietersen,40,91
KK Nair,39,161
ST Jayasuriya,39,84
IK Pathan,38,88
Rashid Khan,38,39
Mandeep Singh,38,176
MR Marsh,38,48
CL White,38,76
Y Venugopal Rao,37,77
SM Curran,37,74
M Shahrukh Khan,37,35
Abdul Samad,36,37
E Lewis,36,62
CH Morris,35,41
STR Binny,35,66
AK Markram,35,73
PJ Cummins,34,33
PD Salt,34,74
BA Stokes,32,81
B Sai Sudharsan,32,95
C Green,32,62
HH Gibbs,31,83
CJ Anderson,31,40
MK Lomror,30,33
DP Conway,30,100
SR Tendulkar,29,296
AD Mathews,29,44
MC Henriques,28,87
R Powell,28,21
J Fraser-McGurk,28,32
R Dravid,28,269
R Ashwin,28,61
S Badrinath,28,154
KC Sangakkara,27,195
T Stubbs,26,26
TL Suman,26,55
NLTC Perera,26,23
Shahbaz Ahmed,25,28
RR Rossouw,25,45
Shashank Singh,25,33
A Badoni,24,46
TM Dilshan,24,140
OA Shah,23,34
JP Faulkner,23,36
MS Bisla,23,93
KR Mayers,22,38
Shakib Al Hasan,21,73
Nithish Kumar Reddy,21,15
JJ Roy,21,75
HM Amla,21,60
PC Valthaty,20,61
