batter,total_runs,century,half_century
V Kohli,8307,8,56
JC Buttler,3773,7,19
CH Gayle,5336,6,32
Shubman Gill,3327,4,20
KL Rahul,4887,4,37
SR Watson,4042,4,21
DA Warner,6910,4,62
SV Samson,4587,3,25
AB de Villiers,5354,3,41
SA Yadav,3704,2,24
AM Rahane,4850,2,30
S Dhawan,7119,2,51
Q de Kock,3302,2,23
V Sehwag,2915,2,16
RD Gaikwad,2475,2,18
HM Amla,600,2,3
AC Gilchrist,2215,2,11
JM Bairstow,1652,2,9
RG Sharma,6884,2,43
BB McCullum,3103,2,13
BA Stokes,967,2,2
YBK Jaiswal,1668,2,9
M Vijay,2749,2,13
SP Narine,1671,1,7
YK Pathan,3385,1,14
PC Valthaty,539,1,2
MA Agarwal,2822,1,13
MEK Hussey,2064,1,15
MK Pandey,4039,1,22
ST Jayasuriya,843,1,4
DA Miller,3082,1,13
AT Rayudu,4515,1,22
KP Pietersen,1039,1,4
SK Raina,5780,1,39
SE Marsh,2612,1,20
D Padikkal,1659,1,9
TM Head,800,1,5
RR Pant,3431,1,18
VR Iyer,1392,1,11
HC Brook,202,1,0
WP Saha,3097,1,13
WG Jacks,239,1,1
B Sai Sudharsan,1088,1,6
P Simran Singh,782,1,3
DPMD Jayawardene,1929,1,10
A Symonds,1028,1,5
H Klaasen,1027,1,6
MP Stoinis,1968,1,9
RM Patidar,854,1,7
LMP Simmons,1127,1,11
SPD Smith,2601,1,11
C Green,733,1,2
SR Tendulkar,2537,1,13
PVD Chameera,48,0,0
PP Chawla,663,0,0
PP Shaw,1963,0,14
PR Shah,104,0,0
R Dhawan,217,0,0
PP Ojha,22,0,0
R Bishnoi,19,0,0
PSP Handscomb,6,0,0
PM Sarvesh Kumar,1,0,0
R Bhatia,356,0,0
R Ashwin,844,0,1
PK Garg,289,0,1
Parvez Rasool,18,0,0
PN Mankad,104,0,1
Pankaj Singh,7,0,0
PWH de Silva,80,0,0
PV Tambe,20,0,0
R Dravid,2270,0,11
A Ashish Reddy,288,0,0
R McLaren,172,0,1
R Ninan,4,0,0
RJ Gleeson,3,0,0
RJ Harris,119,0,0
RJ Peterson,37,0,0
RJ Quiney,114,0,1
RJW Topley,3,0,0
RK Bhui,11,0,0
RK Singh,939,0,4
RN ten Doeschate,338,0,1
RP Meredith,0,0,0
RP Singh,59,0,0
RR Bhatkal,0,0,0
RR Powar,68,0,0
RR Raje,20,0,0
RR Rossouw,490,0,2
RR Sarwan,77,0,0
RG More,2,0,0
RE van der Merwe,170,0,0
RE Levi,89,0,1
R Sathish,288,0,0
R Parag,1229,0,6
R Powell,380,0,1
R Rampaul,56,0,0
R Ravindra,232,0,1
R Sai Kishore,17,0,0
