season,batting_team,total_runs,ball,run_rate
2007/08,Chennai Super Kings,2520,1874,8.06830309498399
2007/08,Deccan Chargers,2229,1668,8.017985611510792
2007/08,Delhi Daredevils,2118,1547,8.214608920491273
2007/08,Kings XI Punjab,2464,1739,8.501437607820586
2007/08,Kolkata Knight Riders,1942,1557,7.483622350674374
2007/08,Mumbai Indians,2080,1584,7.878787878787879
2007/08,Rajasthan Royals,2601,1861,8.385814078452444
2007/08,Royal Challengers Bangalore,1983,1659,7.1717902350813745
2009,Chennai Super Kings,2231,1709,7.832650672908133
2009,Deccan Chargers,2408,1890,7.644444444444445
2009,Delhi Daredevils,2131,1712,7.468457943925234
2009,Kings XI Punjab,1928,1687,6.857142857142857
2009,Kolkata Knight Riders,1772,1522,6.985545335085414
2009,Mumbai Indians,1897,1610,7.069565217391305
2009,Rajasthan Royals,1706,1547,6.6166774402068524
2009,Royal Challengers Bangalore,2280,1929,7.091757387247279
2009/10,Chennai Super Kings,2604,1951,8.008200922603793
2009/10,Deccan Chargers,2374,1943,7.330931549150797
2009/10,Delhi Daredevils,2155,1686,7.6690391459074725
2009/10,Kings XI Punjab,2288,1716,8.0
2009/10,Kolkata Knight Riders,2144,1716,7.496503496503497
2009/10,Mumbai Indians,2738,1995,8.234586466165414
2009/10,Rajasthan Royals,2179,1664,7.856971153846153
2009/10,Royal Challengers Bangalore,2401,1827,7.885057471264368
2011,Chennai Super Kings,2560,1947,7.889060092449922
2011,Deccan Chargers,2140,1719,7.469458987783596
2011,Delhi Daredevils,2087,1665,7.52072072072072
2011,Kings XI Punjab,2224,1705,7.826392961876833
2011,Kochi Tuskers Kerala,1901,1582,7.209860935524652
2011,Kolkata Knight Riders,2023,1675,7.246567164179105
2011,Mumbai Indians,2288,1907,7.198741478762455
2011,Pune Warriors,1775,1526,6.979030144167759
2011,Rajasthan Royals,1687,1452,6.971074380165289
2011,Royal Challengers Bangalore,2469,1835,8.073024523160763
2012,Chennai Super Kings,2831,2183,7.781035272560696
2012,Deccan Chargers,2312,1814,7.647188533627343
2012,Delhi Daredevils,2645,1979,8.019201616978272
2012,Kings XI Punjab,2390,1927,7.441619097042034
2012,Kolkata Knight Riders,2504,2023,7.426594167078596
2012,Mumbai Indians,2462,2054,7.191820837390457
2012,Pune Warriors,2321,1975,7.051139240506329
2012,Rajasthan Royals,2516,1961,7.69811320754717
2012,Royal Challengers Bangalore,2472,1851,8.012965964343598
2013,Chennai Super Kings,2778,2098,7.944709246901812
2013,Delhi Daredevils,2245,1942,6.936148300720905
2013,Kings XI Punjab,2428,1866,7.807073954983923
2013,Kolkata Knight Riders,2290,1923,7.145085803432137
2013,Mumbai Indians,2975,2312,7.720588235294118
2013,Pune Warriors,2262,1942,6.988671472708548
2013,Rajasthan Royals,2705,2157,7.524339360222531
2013,Royal Challengers Bangalore,2601,1893,8.24405705229794
2013,Sunrisers Hyderabad,2318,2044,6.804305283757339
2014,Chennai Super Kings,2650,1923,8.26833073322933
2014,Delhi Daredevils,2081,1675,7.454328358208954
2014,Kings XI Punjab,2987,2053,8.729663906478324
2014,Kolkata Knight Riders,2499,1879,7.979776476849388
2014,Mumbai Indians,2353,1800,7.843333333333334
2014,Rajasthan Royals,2166,1673,7.768081291093843
2014,Royal Challengers Bangalore,2093,1657,7.578756789378394
2014,Sunrisers Hyderabad,2102,1640,7.690243902439025
2015,Chennai Super Kings,2725,2069,7.902368293861769
2015,Delhi Daredevils,2168,1684,7.724465558194774
2015,Kings XI Punjab,2018,1637,7.396456933414783
2015,Kolkata Knight Riders,2044,1472,8.331521739130434
2015,Mumbai Indians,2734,1954,8.39508700102354
2015,Rajasthan Royals,2143,1599,8.041275797373359
2015,Royal Challengers Bangalore,2311,1576,8.798223350253807
2015,Sunrisers Hyderabad,2210,1661,7.98314268512944
2016,Delhi Daredevils,2104,1645,7.674164133738602
2016,Gujarat Lions,2450,1891,7.773664727657324
2016,Kings XI Punjab,2134,1661,7.708609271523178
2016,Kolkata Knight Riders,2263,1696,8.005896226415093
2016,Mumbai Indians,2194,1674,7.863799283154121
2016,Rising Pune Supergiants,2063,1580,7.834177215189873
2016,Royal Challengers Bangalore,2981,1915,9.339947780678852
2016,Sunrisers Hyderabad,2673,2034,7.884955752212389
2017,Delhi Daredevils,2219,1650,8.069090909090908
2017,Gujarat Lions,2412,1675,8.64
2017,Kings XI Punjab,2207,1603,8.260761072988148
2017,Kolkata Knight Riders,2484,1766,8.439411098527746
2017,Mumbai Indians,2800,2053,8.18314661471018
2017,Rising Pune Supergiant,2470,1900,7.800000000000001
2017,Royal Challengers Bangalore,1845,1536,7.20703125
2017,Sunrisers Hyderabad,2349,1679,8.394282310899344
2018,Chennai Super Kings,2809,1957,8.612161471640265
2018,Delhi Daredevils,2343,1601,8.780762023735166
2018,Kings XI Punjab,2210,1617,8.200371057513916
2018,Kolkata Knight Riders,2759,1926,8.595015576323988
2018,Mumbai Indians,2380,1730,8.254335260115607
2018,Rajasthan Royals,2357,1760,8.035227272727273
2018,Royal Challengers Bangalore,2322,1621,8.594694632942629
2018,Sunrisers Hyderabad,2721,2074,7.871745419479266
2019,Chennai Super Kings,2473,2050,7.238048780487805
2019,Delhi Capitals,2529,1909,7.948664222105815
2019,Kings XI Punjab,2429,1718,8.48311990686845
2019,Kolkata Knight Riders,2473,1697,8.743665291691219
2019,Mumbai Indians,2670,1942,8.249227600411947
2019,Rajasthan Royals,2194,1613,8.161190328580284
2019,Royal Challengers Bangalore,2208,1606,8.24906600249066
2019,Sunrisers Hyderabad,2458,1777,8.299380979178391
2020/21,Chennai Super Kings,2191,1699,7.737492642731018
2020/21,Delhi Capitals,2780,2108,7.912713472485769
2020/21,Kings XI Punjab,2357,1717,8.236458940011648
2020/21,Kolkata Knight Riders,2222,1725,7.728695652173913
2020/21,Mumbai Indians,2758,1879,8.80681213411389
2020/21,Rajasthan Royals,2288,1681,8.16656751933373
2020/21,Royal Challengers Bangalore,2289,1819,7.550302363936229
2020/21,Sunrisers Hyderabad,2531,1931,7.86431900569653
2021,Chennai Super Kings,2733,1949,8.413545407901488
2021,Delhi Capitals,2495,1920,7.796875
2021,Kolkata Knight Riders,2559,1981,7.750630994447249
2021,Mumbai Indians,2117,1641,7.740402193784279
2021,Punjab Kings,2150,1676,7.6968973747016705
2021,Rajasthan Royals,2196,1702,7.741480611045828
2021,Royal Challengers Bangalore,2303,1823,7.579813494240263
2021,Sunrisers Hyderabad,2084,1733,7.215233698788229
2022,Chennai Super Kings,2288,1719,7.986038394415358
2022,Delhi Capitals,2341,1650,8.512727272727272
2022,Gujarat Titans,2663,1971,8.10654490106545
2022,Kolkata Knight Riders,2223,1634,8.162790697674419
2022,Lucknow Super Giants,2548,1840,8.308695652173913
2022,Mumbai Indians,2217,1691,7.8663512714370185
2022,Punjab Kings,2343,1712,8.211448598130842
2022,Rajasthan Royals,2943,2107,8.38063597532036
2022,Royal Challengers Bangalore,2632,1965,8.036641221374046
2022,Sunrisers Hyderabad,2197,1623,8.121996303142328
2023,Chennai Super Kings,2712,1804,9.019955654101995
2023,Delhi Capitals,2182,1718,7.620488940628638
2023,Gujarat Titans,3054,2050,8.938536585365853
2023,Kolkata Knight Riders,2463,1728,8.552083333333334
2023,Lucknow Super Giants,2479,1832,8.118995633187772
2023,Mumbai Indians,2945,1925,9.17922077922078
2023,Punjab Kings,2556,1752,8.753424657534246
2023,Rajasthan Royals,2419,1633,8.887936313533375
2023,Royal Challengers Bangalore,2502,1693,8.867099822799764
2023,Sunrisers Hyderabad,2376,1728,8.25
2024,Chennai Super Kings,2524,1719,8.809773123909249
2024,Delhi Capitals,2573,1641,9.407678244972578
2024,Gujarat Titans,2040,1473,8.309572301425662
2024,Kolkata Knight Riders,2667,1594,10.038895859473023
2024,Lucknow Super Giants,2483,1728,8.621527777777779
2024,Mumbai Indians,2568,1686,9.138790035587188
2024,Punjab Kings,2487,1693,8.81393975191967
2024,Rajasthan Royals,2647,1832,8.669213973799126
2024,Royal Challengers Bengaluru,2930,1818,9.669966996699669
2024,Sunrisers Hyderabad,3052,1919,9.542470036477333
