winner,wins,index,0,win_percentage
Chennai Super Kings,138,Chennai Super Kings,238,57.98319327731093
Deccan Chargers,29,Deccan Chargers,75,38.666666666666664
Delhi Capitals,48,Delhi Capitals,91,52.74725274725275
Delhi Daredevils,67,Delhi Daredevils,161,41.61490683229814
Gujarat Lions,13,Gujarat Lions,30,43.333333333333336
Gujarat Titans,28,Gujarat Titans,45,62.22222222222222
Kings XI Punjab,88,Kings XI Punjab,190,46.31578947368421
Kochi Tuskers Kerala,6,Kochi Tuskers Kerala,14,42.857142857142854
Kolkata Knight Riders,131,Kolkata Knight Riders,251,52.191235059760956
Lucknow Super Giants,24,Lucknow Super Giants,44,54.54545454545454
Mumbai Indians,144,Mumbai Indians,261,55.172413793103445
Pune Warriors,12,Pune Warriors,46,26.08695652173913
Punjab Kings,24,Punjab Kings,56,42.857142857142854
Rajasthan Royals,112,Rajasthan Royals,221,50.678733031674206
Rising Pune Supergiant,10,Rising Pune Supergiant,16,62.5
Rising Pune Supergiants,5,Rising Pune Supergiants,14,35.714285714285715
Royal Challengers Bangalore,116,Royal Challengers Bangalore,240,48.333333333333336
Royal Challengers Bengaluru,7,Royal Challengers Bengaluru,15,46.666666666666664
Sunrisers Hyderabad,88,Sunrisers Hyderabad,182,48.35164835164835
