player_of_match,season,winner,matches_played
AB de Villiers,2009,Delhi Daredevils,2
AB de Villiers,2011,Royal Challengers Bangalore,1
AB de Villiers,2012,Royal Challengers Bangalore,3
AB de Villiers,2013,Royal Challengers Bangalore,1
AB de Villiers,2014,Royal Challengers Bangalore,2
AB de Villiers,2015,Royal Challengers Bangalore,2
AB de Villiers,2016,Royal Challengers Bangalore,4
AB de Villiers,2018,Royal Challengers Bangalore,3
AB de Villiers,2019,Royal Challengers Bangalore,2
AB de Villiers,2020/21,Royal Challengers Bangalore,3
AB de Villiers,2021,Royal Challengers Bangalore,2
DA Warner,2009/10,Delhi Daredevils,1
DA Warner,2011,Delhi Daredevils,1
DA Warner,2012,Delhi Daredevils,1
DA Warner,2013,Delhi Daredevils,2
DA Warner,2014,Sunrisers Hyderabad,2
DA Warner,2015,Sunrisers Hyderabad,4
DA Warner,2016,Sunrisers Hyderabad,3
DA Warner,2017,Sunrisers Hyderabad,1
DA Warner,2019,Sunrisers Hyderabad,2
DA Warner,2022,Delhi Capitals,1
MS Dhoni,2007/08,Chennai Super Kings,2
MS Dhoni,2009,Chennai Super Kings,1
MS Dhoni,2009/10,Chennai Super Kings,2
MS Dhoni,2011,Chennai Super Kings,1
MS Dhoni,2012,Chennai Super Kings,1
MS Dhoni,2013,Chennai Super Kings,3
MS Dhoni,2014,Chennai Super Kings,1
MS Dhoni,2016,Rising Pune Supergiants,1
MS Dhoni,2017,Rising Pune Supergiant,1
MS Dhoni,2018,Chennai Super Kings,1
MS Dhoni,2019,Chennai Super Kings,3
RA Jadeja,2012,Chennai Super Kings,1
RA Jadeja,2013,Chennai Super Kings,2
RA Jadeja,2014,Chennai Super Kings,3
RA Jadeja,2015,Chennai Super Kings,1
RA Jadeja,2018,Chennai Super Kings,1
RA Jadeja,2020/21,Chennai Super Kings,1
RA Jadeja,2021,Chennai Super Kings,2
RA Jadeja,2023,Chennai Super Kings,3
RA Jadeja,2024,Chennai Super Kings,2
RG Sharma,2009,Deccan Chargers,2
RG Sharma,2009/10,Deccan Chargers,1
RG Sharma,2012,Mumbai Indians,2
RG Sharma,2013,Mumbai Indians,2
RG Sharma,2014,Mumbai Indians,1
RG Sharma,2015,Mumbai Indians,1
RG Sharma,2016,Mumbai Indians,4
RG Sharma,2017,Mumbai Indians,1
RG Sharma,2018,Mumbai Indians,2
RG Sharma,2019,Mumbai Indians,1
RG Sharma,2020/21,Mumbai Indians,1
RG Sharma,2023,Mumbai Indians,1
S Dhawan,2011,Deccan Chargers,1
S Dhawan,2017,Sunrisers Hyderabad,1
S Dhawan,2018,Sunrisers Hyderabad,2
S Dhawan,2019,Delhi Capitals,2
S Dhawan,2020/21,Delhi Capitals,1
S Dhawan,2020/21,Kings XI Punjab,1
S Dhawan,2021,Delhi Capitals,2
S Dhawan,2022,Punjab Kings,1
S Dhawan,2023,Sunrisers Hyderabad,1
SK Raina,2007/08,Chennai Super Kings,1
SK Raina,2009,Chennai Super Kings,1
SK Raina,2009/10,Chennai Super Kings,2
SK Raina,2011,Chennai Super Kings,1
SK Raina,2012,Chennai Super Kings,1
SK Raina,2013,Chennai Super Kings,2
SK Raina,2014,Chennai Super Kings,2
SK Raina,2015,Chennai Super Kings,2
SK Raina,2016,Gujarat Lions,1
SK Raina,2017,Gujarat Lions,1
SR Watson,2007/08,Rajasthan Royals,4
SR Watson,2011,Rajasthan Royals,1
SR Watson,2012,Rajasthan Royals,2
SR Watson,2013,Rajasthan Royals,1
SR Watson,2015,Rajasthan Royals,1
SR Watson,2016,Royal Challengers Bangalore,1
SR Watson,2018,Chennai Super Kings,3
SR Watson,2019,Chennai Super Kings,2
SR Watson,2020/21,Chennai Super Kings,1
V Kohli,2011,Royal Challengers Bangalore,2
V Kohli,2013,Royal Challengers Bangalore,3
V Kohli,2015,Royal Challengers Bangalore,1
V Kohli,2016,Gujarat Lions,1
V Kohli,2016,Royal Challengers Bangalore,4
V Kohli,2019,Royal Challengers Bangalore,1
V Kohli,2020/21,Royal Challengers Bangalore,1
V Kohli,2022,Royal Challengers Bangalore,1
V Kohli,2023,Royal Challengers Bangalore,2
V Kohli,2024,Royal Challengers Bengaluru,2
YK Pathan,2007/08,Rajasthan Royals,4
YK Pathan,2009,Rajasthan Royals,3
YK Pathan,2009/10,Mumbai Indians,1
YK Pathan,2009/10,Rajasthan Royals,1
YK Pathan,2011,Kolkata Knight Riders,2
YK Pathan,2012,Kolkata Knight Riders,1
YK Pathan,2013,Kolkata Knight Riders,1
YK Pathan,2014,Kolkata Knight Riders,1
YK Pathan,2016,Kolkata Knight Riders,2
