index,venue,winner,matches_won
1,Arun Jaitley Stadium,Chennai Super Kings,1
2,Arun Jaitley Stadium,Delhi Capitals,4
3,Arun Jaitley Stadium,Delhi Daredevils,4
4,Arun Jaitley Stadium,Kings XI Punjab,1
5,Arun Jaitley Stadium,Mumbai Indians,1
6,Arun Jaitley Stadium,Royal Challengers Bangalore,1
7,Arun Jaitley Stadium,Sunrisers Hyderabad,2
8,"Arun Jaitley Stadium, Delhi",Chennai Super Kings,2
9,"Arun Jaitley Stadium, Delhi",Delhi Capitals,6
10,"Arun Jaitley Stadium, Delhi",Gujarat Titans,1
11,"Arun Jaitley Stadium, Delhi",Mumbai Indians,3
12,"Arun Jaitley Stadium, Delhi",Punjab Kings,1
13,"Arun Jaitley Stadium, Delhi",Rajasthan Royals,1
14,"Arun Jaitley Stadium, Delhi",Sunrisers Hyderabad,2
15,Barabati Stadium,Deccan Chargers,3
16,Barabati Stadium,Kings XI Punjab,1
17,Barabati Stadium,Kolkata Knight Riders,3
18,"Barsapara Cricket Stadium, Guwahati",Punjab Kings,2
19,"Barsapara Cricket Stadium, Guwahati",Rajasthan Royals,1
20,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Delhi Capitals,1
21,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Gujarat Titans,1
22,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Kolkata Knight Riders,1
23,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,7
24,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Punjab Kings,1
25,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Rajasthan Royals,1
26,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Royal Challengers Bangalore,1
27,Brabourne Stadium,Chennai Super Kings,1
28,Brabourne Stadium,Mumbai Indians,5
29,Brabourne Stadium,Rajasthan Royals,2
30,Brabourne Stadium,Royal Challengers Bangalore,1
31,Brabourne Stadium,Sunrisers Hyderabad,1
32,"Brabourne Stadium, Mumbai",Delhi Capitals,4
33,"Brabourne Stadium, Mumbai",Gujarat Titans,2
34,"Brabourne Stadium, Mumbai",Lucknow Super Giants,2
35,"Brabourne Stadium, Mumbai",Mumbai Indians,2
36,"Brabourne Stadium, Mumbai",Punjab Kings,2
37,"Brabourne Stadium, Mumbai",Rajasthan Royals,3
38,"Brabourne Stadium, Mumbai",Sunrisers Hyderabad,2
39,Buffalo Park,Chennai Super Kings,1
40,Buffalo Park,Delhi Daredevils,1
41,Buffalo Park,Mumbai Indians,1
42,De Beers Diamond Oval,Chennai Super Kings,1
43,De Beers Diamond Oval,Deccan Chargers,1
44,De Beers Diamond Oval,Kings XI Punjab,1
45,Dr DY Patil Sports Academy,Chennai Super Kings,3
46,Dr DY Patil Sports Academy,Deccan Chargers,2
47,Dr DY Patil Sports Academy,Delhi Daredevils,1
48,Dr DY Patil Sports Academy,Kolkata Knight Riders,2
49,Dr DY Patil Sports Academy,Mumbai Indians,5
50,Dr DY Patil Sports Academy,Pune Warriors,2
51,Dr DY Patil Sports Academy,Rajasthan Royals,1
52,Dr DY Patil Sports Academy,Royal Challengers Bangalore,1
53,"Dr DY Patil Sports Academy, Mumbai",Chennai Super Kings,3
54,"Dr DY Patil Sports Academy, Mumbai",Delhi Capitals,2
55,"Dr DY Patil Sports Academy, Mumbai",Gujarat Titans,2
56,"Dr DY Patil Sports Academy, Mumbai",Kolkata Knight Riders,1
57,"Dr DY Patil Sports Academy, Mumbai",Lucknow Super Giants,3
58,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,1
59,"Dr DY Patil Sports Academy, Mumbai",Punjab Kings,2
60,"Dr DY Patil Sports Academy, Mumbai",Rajasthan Royals,1
61,"Dr DY Patil Sports Academy, Mumbai",Royal Challengers Bangalore,2
62,"Dr DY Patil Sports Academy, Mumbai",Sunrisers Hyderabad,3
63,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Chennai Super Kings,2
64,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Delhi Capitals,1
65,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Delhi Daredevils,1
66,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Kings XI Punjab,1
67,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Mumbai Indians,2
68,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rajasthan Royals,1
69,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rising Pune Supergiants,2
70,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,3
71,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Delhi Capitals,1
72,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Kolkata Knight Riders,1
73,Dubai International Cricket Stadium,Chennai Super Kings,9
74,Dubai International Cricket Stadium,Delhi Capitals,6
75,Dubai International Cricket Stadium,Delhi Daredevils,1
76,Dubai International Cricket Stadium,Kings XI Punjab,5
77,Dubai International Cricket Stadium,Kolkata Knight Riders,3
78,Dubai International Cricket Stadium,Mumbai Indians,3
79,Dubai International Cricket Stadium,Punjab Kings,2
80,Dubai International Cricket Stadium,Rajasthan Royals,2
81,Dubai International Cricket Stadium,Royal Challengers Bangalore,8
82,Dubai International Cricket Stadium,Sunrisers Hyderabad,7
83,Eden Gardens,Chennai Super Kings,5
84,Eden Gardens,Delhi Capitals,1
85,Eden Gardens,Delhi Daredevils,1
86,Eden Gardens,Gujarat Lions,2
87,Eden Gardens,Kings XI Punjab,3
88,Eden Gardens,Kochi Tuskers Kerala,1
89,Eden Gardens,Kolkata Knight Riders,45
90,Eden Gardens,Mumbai Indians,10
91,Eden Gardens,Rajasthan Royals,2
92,Eden Gardens,Rising Pune Supergiant,1
93,Eden Gardens,Royal Challengers Bangalore,4
94,Eden Gardens,Sunrisers Hyderabad,2
95,"Eden Gardens, Kolkata",Chennai Super Kings,1
96,"Eden Gardens, Kolkata",Gujarat Titans,2
97,"Eden Gardens, Kolkata",Kolkata Knight Riders,7
98,"Eden Gardens, Kolkata",Lucknow Super Giants,1
99,"Eden Gardens, Kolkata",Punjab Kings,1
100,"Eden Gardens, Kolkata",Rajasthan Royals,2
