index,Team,count
1,Rising Pune Supergiant,63%
2,Gujarat Titans,63%
3,Chennai Super Kings,59%
4,Lucknow Super Giants,57%
5,Mumbai Indians,56%
6,Delhi Capitals,54%
7,Kolkata Knight Riders,53%
8,Rajasthan Royals,52%
9,Royal Challengers Bangalore,50%
10,Sunrisers Hyderabad,49%
11,Royal Challengers Bengaluru,48%
12,Kings XI Punjab,47%
13,Gujarat Lions,44%
14,Punjab Kings,44%
15,Kochi Tuskers Kerala,44%
16,Delhi Daredevils,43%
17,Deccan Chargers,40%
18,Rising Pune Supergiants,37%
19,Pune Warriors,28%
