team,total_runs,wickets,win_loss_ratio
Chennai Super Kings,38629,1481,138.0
Deccan Chargers,11463,446,63.04347826086957
Delhi Capitals,14900,586,111.62790697674419
Delhi Daredevils,24296,912,71.27659574468085
Gujarat Lions,4862,151,76.47058823529412
Gujarat Titans,7757,298,164.70588235294116
Kings XI Punjab,30064,1076,86.27450980392157
Kochi Tuskers Kerala,1901,74,75.0
Kolkata Knight Riders,39331,1464,109.16666666666666
Lucknow Super Giants,7510,264,120.0
Mumbai Indians,42176,1591,123.07692307692308
Pune Warriors,6358,238,35.294117647058826
Punjab Kings,9536,335,75.0
Rajasthan Royals,34747,1277,102.75229357798166
Rising Pune Supergiant,2470,113,166.66666666666669
Rising Pune Supergiants,2063,76,55.55555555555556
Royal Challengers Bangalore,37692,1406,93.54838709677419
Royal Challengers Bengaluru,2930,88,87.5
Sunrisers Hyderabad,29071,1074,93.61702127659575
