venue,winner,wins
Arun Jaitley Stadium,Chennai Super Kings,1
Arun Jaitley Stadium,Delhi Capitals,4
Arun Jaitley Stadium,Delhi Daredevils,4
Arun Jaitley Stadium,Kings XI Punjab,1
Arun Jaitley Stadium,Mumbai Indians,1
Arun Jaitley Stadium,Royal Challengers Bangalore,1
Arun Jaitley Stadium,Sunrisers Hyderabad,2
"Arun Jaitley Stadium, Delhi",Chennai Super Kings,2
"Arun Jaitley Stadium, Delhi",Delhi Capitals,6
"Arun Jaitley Stadium, Delhi",Gujarat Titans,1
"Arun Jaitley Stadium, Delhi",Mumbai Indians,3
"Arun Jaitley Stadium, Delhi",Punjab Kings,1
"Arun Jaitley Stadium, Delhi",Rajasthan Royals,1
"Arun Jaitley Stadium, Delhi",Sunrisers Hyderabad,2
Barabati Stadium,Deccan Chargers,3
Barabati Stadium,Kings XI Punjab,1
Barabati Stadium,Kolkata Knight Riders,3
"Barsapara Cricket Stadium, Guwahati",Punjab Kings,2
"Barsapara Cricket Stadium, Guwahati",Rajasthan Royals,1
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Delhi Capitals,1
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Gujarat Titans,1
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Kolkata Knight Riders,1
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,7
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Punjab Kings,1
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Rajasthan Royals,1
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Royal Challengers Bangalore,1
Brabourne Stadium,Chennai Super Kings,1
Brabourne Stadium,Mumbai Indians,5
Brabourne Stadium,Rajasthan Royals,2
Brabourne Stadium,Royal Challengers Bangalore,1
Brabourne Stadium,Sunrisers Hyderabad,1
"Brabourne Stadium, Mumbai",Delhi Capitals,4
"Brabourne Stadium, Mumbai",Gujarat Titans,2
"Brabourne Stadium, Mumbai",Lucknow Super Giants,2
"Brabourne Stadium, Mumbai",Mumbai Indians,2
"Brabourne Stadium, Mumbai",Punjab Kings,2
"Brabourne Stadium, Mumbai",Rajasthan Royals,3
"Brabourne Stadium, Mumbai",Sunrisers Hyderabad,2
Buffalo Park,Chennai Super Kings,1
Buffalo Park,Delhi Daredevils,1
Buffalo Park,Mumbai Indians,1
De Beers Diamond Oval,Chennai Super Kings,1
De Beers Diamond Oval,Deccan Chargers,1
De Beers Diamond Oval,Kings XI Punjab,1
Dr DY Patil Sports Academy,Chennai Super Kings,3
Dr DY Patil Sports Academy,Deccan Chargers,2
Dr DY Patil Sports Academy,Delhi Daredevils,1
Dr DY Patil Sports Academy,Kolkata Knight Riders,2
Dr DY Patil Sports Academy,Mumbai Indians,5
Dr DY Patil Sports Academy,Pune Warriors,2
Dr DY Patil Sports Academy,Rajasthan Royals,1
Dr DY Patil Sports Academy,Royal Challengers Bangalore,1
"Dr DY Patil Sports Academy, Mumbai",Chennai Super Kings,3
"Dr DY Patil Sports Academy, Mumbai",Delhi Capitals,2
"Dr DY Patil Sports Academy, Mumbai",Gujarat Titans,2
"Dr DY Patil Sports Academy, Mumbai",Kolkata Knight Riders,1
"Dr DY Patil Sports Academy, Mumbai",Lucknow Super Giants,3
"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,1
"Dr DY Patil Sports Academy, Mumbai",Punjab Kings,2
"Dr DY Patil Sports Academy, Mumbai",Rajasthan Royals,1
"Dr DY Patil Sports Academy, Mumbai",Royal Challengers Bangalore,2
"Dr DY Patil Sports Academy, Mumbai",Sunrisers Hyderabad,3
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Chennai Super Kings,2
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Delhi Capitals,1
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Delhi Daredevils,1
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Kings XI Punjab,1
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Mumbai Indians,2
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rajasthan Royals,1
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rising Pune Supergiants,2
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,3
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Delhi Capitals,1
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Kolkata Knight Riders,1
Dubai International Cricket Stadium,Chennai Super Kings,9
Dubai International Cricket Stadium,Delhi Capitals,6
Dubai International Cricket Stadium,Delhi Daredevils,1
Dubai International Cricket Stadium,Kings XI Punjab,5
Dubai International Cricket Stadium,Kolkata Knight Riders,3
Dubai International Cricket Stadium,Mumbai Indians,3
Dubai International Cricket Stadium,Punjab Kings,2
Dubai International Cricket Stadium,Rajasthan Royals,2
Dubai International Cricket Stadium,Royal Challengers Bangalore,8
Dubai International Cricket Stadium,Sunrisers Hyderabad,7
Eden Gardens,Chennai Super Kings,5
Eden Gardens,Delhi Capitals,1
Eden Gardens,Delhi Daredevils,1
Eden Gardens,Gujarat Lions,2
Eden Gardens,Kings XI Punjab,3
Eden Gardens,Kochi Tuskers Kerala,1
Eden Gardens,Kolkata Knight Riders,45
Eden Gardens,Mumbai Indians,10
Eden Gardens,Rajasthan Royals,2
Eden Gardens,Rising Pune Supergiant,1
Eden Gardens,Royal Challengers Bangalore,4
Eden Gardens,Sunrisers Hyderabad,2
"Eden Gardens, Kolkata",Chennai Super Kings,1
"Eden Gardens, Kolkata",Gujarat Titans,2
"Eden Gardens, Kolkata",Kolkata Knight Riders,7
"Eden Gardens, Kolkata",Lucknow Super Giants,1
"Eden Gardens, Kolkata",Punjab Kings,1
"Eden Gardens, Kolkata",Rajasthan Royals,2
"Eden Gardens, Kolkata",Royal Challengers Bangalore,1
"Eden Gardens, Kolkata",Sunrisers Hyderabad,1
