Index,venue,Chennai Super Kings,Deccan Chargers,Delhi Capitals,Delhi Daredevils,Gujarat Lions,Gujarat Titans,Kings XI Punjab,Kochi Tuskers Kerala,Kolkata Knight Riders,Lucknow Super Giants,Mumbai Indians,Pune Warriors,Punjab Kings,Rajasthan Royals,Rising Pune Supergiant,Rising Pune Supergiants,Royal Challengers Bangalore,Royal Challengers Bengaluru,Sunrisers Hyderabad
1,Arun Jaitley Stadium,1,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2
2,"Arun Jaitley Stadium, Delhi",2,0,6,0,0,1,0,0,0,0,3,0,1,1,0,0,0,0,2
3,Barabati Stadium,0,3,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0
4,"Barsapara Cricket Stadium, Guwahati",0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
5,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0,0,1,0,0,1,0,0,1,7,0,0,1,1,0,0,1,0,0
6,Brabourne Stadium,1,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,1,0,1
7,"Brabourne Stadium, Mumbai",0,0,4,0,0,2,0,0,0,2,2,0,2,3,0,0,0,0,2
8,Buffalo Park,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,De Beers Diamond Oval,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,Dr DY Patil Sports Academy,3,2,0,1,0,0,0,0,2,0,5,2,0,1,0,0,1,0,0
11,"Dr DY Patil Sports Academy, Mumbai",3,0,2,0,0,2,0,0,1,3,1,0,2,1,0,0,2,0,3
12,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,0,1,1,0,0,1,0,0,0,2,0,0,1,0,2,0,0,3
13,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14,Dubai International Cricket Stadium,9,0,6,1,0,0,5,0,3,0,3,0,2,2,0,0,8,0,7
15,Eden Gardens,5,0,1,1,2,0,3,1,45,0,10,0,0,2,1,0,4,0,2
16,"Eden Gardens, Kolkata",1,0,0,0,0,2,0,0,7,1,0,0,1,2,0,0,1,0,1
17,Feroz Shah Kotla,5,2,0,23,1,0,4,1,5,0,3,1,0,4,0,1,5,0,4
18,Green Park,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,Himachal Pradesh Cricket Association Stadium,1,2,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
20,"Himachal Pradesh Cricket Association Stadium, Dharamsala",1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
21,Holkar Cricket Stadium,0,0,0,0,0,0,4,1,1,0,2,0,0,0,0,0,1,0,0
22,JSCA International Stadium Complex,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
23,Kingsmead,1,2,0,3,0,0,2,0,2,0,0,0,0,2,0,0,3,0,0
24,M Chinnaswamy Stadium,4,1,0,3,1,0,5,0,6,0,8,0,0,3,1,0,29,0,2
