batting_team,run_rate
Chennai Super Kings,8.082966957394763
Deccan Chargers,7.621982915860558
Delhi Capitals,8.192777068785276
Delhi Daredevils,7.777883676639715
Gujarat Lions,8.21264989399163
Gujarat Titans,8.460785208230327
Kings XI Punjab,7.984467282458918
Kochi Tuskers Kerala,7.438340200984053
Kolkata Knight Riders,8.01535882877807
Lucknow Super Giants,8.29935079709383
Mumbai Indians,8.067291326934765
Pune Warriors,7.006176070730661
Punjab Kings,8.393907939695147
Rajasthan Royals,7.951567964093007
Rising Pune Supergiant,7.751077290445942
Rising Pune Supergiants,7.772143587016011
Royal Challengers Bangalore,8.031170633709035
Royal Challengers Bengaluru,9.722088526727756
Sunrisers Hyderabad,8.017992588592124
