match_id,bowler,total_runs
1426278,MM Sharma,73
1136611,Basil Thampi,70
1359487,Yash Dayal,69
1426281,L Wood,68
1426268,RJW Topley,68
1422126,KT Maphaka,67
1359520,Arshdeep Singh,66
734007,Sandeep Sharma,66
1178423,Mujeeb Ur Rahman,66
598051,I Sharma,66
1422138,A Nortje,65
598054,UT Yadav,65
1082635,PJ Cummins,65
1426268,Vijaykumar Vyshak,64
1304106,JR Hazlewood,64
1216538,S Kaul,64
1216541,AS Rajpoot,64
1216517,TA Boult,63
598011,AB Dinda,63
548380,VR Aaron,63
1304086,M Jansen,63
1426306,SN Thakur,62
1178422,PP Chawla,62
1175372,TG Southee,62
1359498,Vijaykumar Vyshak,62
1426280,Harshit Rana,62
598064,MG Neser,62
1426288,YS Chahal,62
1254084,L Ngidi,62
1422126,G Coetzee,61
981019,SR Watson,61
598050,R McLaren,61
1426274,Yash Dayal,61
1426281,Mukesh Kumar,60
734047,P Awana,60
1082612,I Sharma,60
1426297,Simarjeet Singh,60
1359520,JC Archer,60
1426268,B Kumar,60
1304112,Avesh Khan,60
1426280,SM Curran,60
1304049,Mohammed Siraj,60
1304111,T Natarajan,60
1304075,CJ Jordan,59
1136584,CJ Anderson,59
829737,AN Ahmed,59
392228,Mashrafe Mortaza,59
501220,SK Trivedi,59
1216547,JJ Bumrah,59
1254072,SM Curran,59
1178410,Kuldeep Yadav,59
1082630,K Rabada,59
336014,RP Singh,59
980993,Imran Tahir,59
1422134,A Nortje,59
1304068,Akash Deep,59
1136571,UT Yadav,59
829723,PJ Cummins,59
1178430,Harbhajan Singh,58
829773,MM Sharma,58
1216524,K Rabada,58
1136586,Shivam Mavi,58
829791,Anureet Singh,58
1082612,SL Malinga,58
1082592,AB Dinda,58
980907,KV Sharma,58
1254072,PJ Cummins,58
1082610,RA Jadeja,57
335989,P Amarnath,57
1422126,B Kumar,57
1254084,JJ Bumrah,57
1216510,DW Steyn,57
1304112,TG Southee,57
598027,MR Marsh,57
1082641,MM Sharma,57
1304048,DR Sams,57
1178399,HH Pandya,57
1426263,Akash Madhwal,57
734033,BE Hendricks,57
